TDEP,GR,BSZ,CALI,DRHO,PE,HMRS,HDRS,DTC,RHOB,NPHI,DCALI
68.8,94.66767883300781,,,,,,,,,,
68.9,95.41407775878906,,,,,,,,,,
69.0,94.33595275878906,,,,,,,,,,
69.1,90.50446319580078,,,,,,,,,,
69.2,83.04051971435547,,,,,,,,,,
69.3,72.96419525146484,,,,,,,,,,
69.4,67.68138122558594,,,,,,,,,,
69.5,64.81190490722656,,,,,,,,,,
69.6,55.672725677490234,,,,,,,,,,
69.7,55.44880676269531,,,,,,,,,,
69.8,57.86214828491211,,,,,,,,,,
69.9,68.7180404663086,,,,,,,,,,
70.0,75.78390502929688,,,,,,,,,,
70.1,82.02044677734375,,,,,,,,,,
70.2,86.70613861083984,,,,,,,,,,
70.3,90.65373992919922,,,,,,,,,,
70.4,91.69039916992188,,,,,,,,,,
70.5,91.08499145507812,,,,,,,,,,
70.6,86.21683502197266,,,,,,,,,,
70.7,84.31768035888672,,,,,,,,,,
70.8,83.4302978515625,,,,,,,,,,
70.9,87.5852279663086,,,,,,,,,,
71.0,88.85409545898438,,,,,,,,,,
71.1,89.51756286621094,,,,,,,,,,
71.2,88.02477264404297,,,,,,,,,,
71.3,85.84364318847656,,,,,,,,,,
71.4,84.72405242919922,,,,,,,,,,
71.5,85.32946014404297,,,,,,,,,,
71.6,85.86852264404297,,,,,,,,,,
71.7,84.69917297363281,,,,,,,,,,
71.8,84.83186340332031,,,,,,,,,,
71.9,88.2569808959961,,,,,,,,,,
72.0,87.38619232177734,,,,,,,,,,
72.1,81.33209991455078,,,,,,,,,,
72.2,63.40205383300781,,,,,,,,,,
72.3,55.8137092590332,,,,,,,,,,
72.4,49.91719436645508,,,,,,,,,,
72.5,43.108421325683594,,,,,,,,,,
72.6,42.9840202331543,,,,,,,,,,
72.7,44.89976501464844,,,,,,,,,,
72.8,53.72380447387695,,,,,,,,,,
72.9,57.721160888671875,,,,,,,,,,
73.0,60.93894958496094,,,,,,,,,,
73.1,68.92536926269531,,,,,,,,,,
73.2,73.95938873291016,,,,,,,,,,
73.3,78.58702850341797,,,,,,,,,,
73.4,81.88774871826172,,,,,,,,,,
73.5,86.45734405517578,,,,,,,,,,
73.6,89.6585464477539,,,,,,,,,,
73.7,92.45337677001953,,,,,,,,,,
73.8,97.24688720703125,,,,,,,,,,
73.9,97.37128448486328,,,,,,,,,,
74.0,95.38090515136719,,,,,,,,,,
74.1,85.71924591064453,,,,,,,,,,
74.2,81.18282318115234,,,,,,,,,,
74.3,79.19243621826172,,,,,,,,,,
74.4,78.09772491455078,,,,,,,,,,
74.5,76.08246612548828,,,,,,,,,,
74.6,72.0851058959961,,,,,,,,,,
74.7,62.73029708862305,,,,,,,,,,
74.8,60.292076110839844,,,,,,,,,,
74.9,61.428253173828125,,,,,,,,,,
75.0,64.430419921875,,,,,,,,,,
75.1,75.24484252929688,,,,,,,,,,
75.2,80.97549438476562,,,,,,,,,,
75.3,85.8353500366211,,,,,,,,,,
75.4,89.01996612548828,,,,,,,,,,
75.5,86.32465362548828,,,,,,,,,,
75.6,82.79171752929688,,,,,,,,,,
75.7,80.51936340332031,,,,,,,,,,
75.8,82.31900024414062,,,,,,,,,,
75.9,84.00253295898438,,,,,,,,,,
76.0,81.82140350341797,,,,,,,,,,
76.1,80.90914916992188,,,,,,,,,,
76.2,79.50758361816406,,,,,,,,,,
76.3,80.89256286621094,,,,,,,,,,
76.4,81.17453002929688,,,,,,,,,,
76.5,82.10337829589844,,,,,,,,,,
76.6,80.22909545898438,,,,,,,,,,
76.7,75.17849731445312,,,,,,,,,,
76.8,70.42645263671875,,,,,,,,,,
76.9,65.29291534423828,,,,,,,,,,
77.0,53.176448822021484,,,,,,,,,,
77.1,46.83209991455078,,,,,,,,,,
77.2,42.818153381347656,,,,,,,,,,
77.3,43.19964599609375,,,,,,,,,,
77.4,47.75265121459961,,,,,,,,,,
77.5,53.12668991088867,,,,,,,,,,
77.6,65.31779479980469,,,,,,,,,,
77.7,71.21430969238281,,,,,,,,,,
77.8,76.09905242919922,,,,,,,,,,
