TDEP,GR,HMRS,HDRS,DTC,NPHI,DRHO,PE,RHOB,BSZ,CALI,DCALI
57.8,74.24455261230469,5.215081214904785,149.45346069335938,123.00353240966797,38.34836959838867,0.028459612280130386,3.9235033988952637,1.8627351522445679,8.5,9.475812911987305,0.9758129119873047
57.9,80.70345306396484,4.978657245635986,68.58839416503906,122.72378540039062,41.05945587158203,0.027423983439803123,3.8596179485321045,1.8441696166992188,8.5,9.51522159576416,1.0152215957641602
58.0,94.01468658447266,4.31313943862915,19.232450485229492,121.78047943115234,42.71843338012695,0.0251872967928648,3.7716989517211914,1.8035070896148682,8.5,9.646356582641602,1.1463565826416016
58.1,95.68678283691406,3.9660120010375977,11.641287803649902,121.03315734863281,44.124725341796875,0.027069665491580963,3.7313616275787354,1.7906242609024048,8.5,9.68863296508789,1.1886329650878906
58.2,96.8998794555664,3.6488184928894043,7.644280433654785,121.30644226074219,45.35856246948242,0.027720248326659203,3.712381362915039,1.7810121774673462,8.5,9.728205680847168,1.228205680847168
58.3,101.30963134765625,3.044811725616455,3.8426096439361572,124.48932647705078,46.42683792114258,0.03273385763168335,3.6642849445343018,1.7736914157867432,8.5,9.674711227416992,1.1747112274169922
58.4,108.19475555419922,2.858909845352173,2.9014105796813965,127.09339141845703,47.79066467285156,0.03203212842345238,3.6457254886627197,1.7698944807052612,8.5,9.67173957824707,1.1717395782470703
58.5,114.22743225097656,2.721280574798584,2.452559232711792,128.74212646484375,49.31169891357422,0.03132801875472069,3.6255874633789062,1.768377423286438,8.5,9.645431518554688,1.1454315185546875
58.6,121.3912353515625,2.560595989227295,2.034006118774414,129.4365234375,49.30540084838867,0.02419649064540863,3.6451668739318848,1.7677617073059082,8.5,9.704299926757812,1.2042999267578125
58.7,120.35846710205078,2.5129101276397705,1.9354676008224487,129.44833374023438,48.189247131347656,0.020403429865837097,3.675290822982788,1.768140435218811,8.5,9.715869903564453,1.2158699035644531
58.8,118.32572174072266,2.4761064052581787,1.8695513010025024,129.1688690185547,48.13080978393555,0.016233624890446663,3.702425003051758,1.7680277824401855,8.5,9.753105163574219,1.2531051635742188
58.9,117.1781997680664,2.4497272968292236,1.8374519348144531,128.6782989501953,48.98453140258789,0.010265268385410309,3.7212748527526855,1.7667900323867798,8.5,9.808796882629395,1.3087968826293945
59.0,116.19461059570312,2.4144532680511475,1.8313288688659668,128.37484741210938,50.1672477722168,0.009023003280162811,3.7121217250823975,1.7686020135879517,8.5,9.78250503540039,1.2825050354003906
59.1,114.86676788330078,2.4045493602752686,1.8293266296386719,128.70018005371094,51.30971145629883,0.009581130929291248,3.699392557144165,1.7737590074539185,8.5,9.778270721435547,1.2782707214355469
