TDEP,BS,CAL,DCAL,DRHO,DT,GR,RESD,NPHI,PE,PE,RHOB
38.1,,,,,,24.96297836303711,,,34.880592346191406,32.27082824707031,
38.2,,,,,,25.184083938598633,,,36.11605453491211,37.15070343017578,
38.3,,,,,,25.1602725982666,,,38.22580337524414,45.822547912597656,
38.4,,,,,,25.129657745361328,,,40.33584213256836,49.09712600708008,
38.5,,,,,,24.77928924560547,,,41.9427604675293,30.399391174316406,
38.6,,,,,,24.524166107177734,,,42.84934997558594,50.932586669921875,
38.7,,,,,,24.04113006591797,,,43.2484130859375,43.319129943847656,
38.8,,,,,,23.459449768066406,,,43.38509750366211,39.67469787597656,
38.9,,,,,,23.889759063720703,,,43.26969528198242,43.43980407714844,
39.0,,,,,,24.013919830322266,,,43.51459503173828,39.49905014038086,
39.1,,,,,,24.81840705871582,,,43.63858413696289,46.65357208251953,
39.2,,,,,,25.935848236083984,,,43.484378814697266,49.416072845458984,
39.3,,,,,,26.8900089263916,,,43.174381256103516,42.81294250488281,
39.4,,,,,,28.38163185119629,,,42.927032470703125,40.786434173583984,
39.5,,,,,,29.544994354248047,,,43.140193939208984,41.02835464477539,
39.6,,,,,,29.997413635253906,,,43.34843826293945,38.400455474853516,
39.7,,,,,,29.50077247619629,,,43.35454559326172,52.12767028808594,
39.8,,,,,,28.209848403930664,,,42.75408935546875,46.28319549560547,
39.9,,,,,,26.892560958862305,,,41.81843185424805,34.995811462402344,
40.0,,,,,,26.307477951049805,,,41.43313980102539,38.15641784667969,
40.1,,,,,,25.93329620361328,,,41.13381576538086,47.275733947753906,
40.2,,,,,,26.193523406982422,,,40.917537689208984,45.50239562988281,
40.3,,,,,,26.528583526611328,,,40.92588424682617,37.21665954589844,
40.4,,,,,,26.382314682006836,,,40.88037872314453,36.580291748046875,
40.5,,,,,,26.508174896240234,,,41.8757438659668,39.44990921020508,
40.6,,,,,,26.280263900756836,,,43.58221435546875,40.01547622680664,
40.7,,,,,,25.808286666870117,,,44.9961051940918,48.8912239074707,
40.8,,,,,,25.500436782836914,,,46.21245574951172,51.293338775634766,
40.9,,,,,,24.908550262451172,,,46.56560516357422,53.30837631225586,
41.0,,,,,,24.087053298950195,,,46.385765075683594,45.5892333984375,
41.1,,,,,,23.318281173706055,,,46.81770324707031,43.52964782714844,
41.2,,,,,,22.39643669128418,,,47.733375549316406,43.71451950073242,
41.3,,,,,,21.722909927368164,,,46.69596862792969,49.91895294189453,
41.4,,,,,,21.590246200561523,,,28.31978988647461,47.44876480102539,
41.5,,,,,,21.18885040283203,,,-26.21681785583496,50.30918884277344,
41.6,,,,,,20.75004005432129,,,-87.26345825195312,-6.485569477081299,
41.7,,,,,,20.761945724487305,,,-144.80618286132812,-243.3199462890625,
41.8,,,,,,20.459197998046875,,,-167.64242553710938,-489.2496337890625,
41.9,,,,,,20.624177932739258,,,-118.8884506225586,-24.451274871826172,
42.0,,,,,,20.733030319213867,,,-58.037261962890625,41.25334548950195,
42.1,,,,,,19.766963958740234,,,2.4256863594055176,48.24169158935547,
42.2,,,,,,19.27712631225586,,,45.83486557006836,55.686607360839844,
