TDEP,GR,BS,NPHI,CAL,RHOB,DRHO,PE,RESD,DTC,DCAL
18.499988585710526,50.66569900512695,8.5,,,,,,,,
18.59998858720064,52.32820129394531,8.5,,,,,,,,
18.699988588690758,44.712501525878906,8.5,,,,,,,,
18.799988590180874,40.34260177612305,8.5,,,,,,,,
18.89998859167099,38.015098571777344,8.5,,,,,,,,
18.999988593161106,38.85430145263672,8.5,,,,,,,,
19.099988594651222,40.56420135498047,8.5,,,,,,,,
19.19998859614134,41.84669876098633,8.5,,,,,,,,
19.299988597631454,43.01839828491211,8.5,,,,,,,,
19.39998859912157,45.108299255371094,8.5,,,,,,,,
19.499988600611687,46.39080047607422,8.5,,,,,,,,
19.599988602101803,46.51750183105469,8.5,,,,,,,,
19.69998860359192,47.30910110473633,8.5,,,,,,,,
19.799988605082035,47.388301849365234,8.5,,,,,,,,
19.89998860657215,47.974098205566406,8.5,,,,,,,,
19.999988608062267,45.96329879760742,8.5,,,,,,,,
20.099988609552383,45.6150016784668,8.5,,,,,,,,
20.1999886110425,45.40909957885742,8.5,,,,,,,,
20.299988612532616,49.304100036621094,8.5,,,,,,,,
20.399988614022732,51.93239974975586,8.5,,,,,,,,
20.499988615512848,55.58980178833008,8.5,,,,,,,,
20.599988617002964,57.90140151977539,8.5,,,,,,,,
20.69998861849308,56.42890167236328,8.5,,,,,,,,
20.799988619983196,55.74810028076172,8.5,,,,,,,,
20.899988621473312,56.38140106201172,8.5,,,,,,,,
20.99998862296343,60.909698486328125,8.5,,,,,,,,
21.099988624453545,61.49549865722656,8.5,,,,,,,,
21.19998862594366,62.23970031738281,8.5,,,,,,,,
21.299988627433777,62.33470153808594,8.5,,,,,,,,
21.399988628923893,63.268798828125,8.5,,,,,,,,
21.49998863041401,62.06549835205078,8.5,,,,,,,,
21.599988631904125,63.61709976196289,8.5,,,,,,,,
21.69998863339424,65.10540008544922,8.5,,,,,,,,
21.799988634884357,68.3511962890625,8.5,,,,,,,,
21.899988636374474,72.5469970703125,8.5,,,,,,,,
21.99998863786459,74.85859680175781,8.5,,,,,,,,
22.099988639354706,74.47859954833984,8.5,,,,,,,,
22.199988640844822,70.58370208740234,8.5,,,,,,,,
22.299988642334938,67.86039733886719,8.5,,,,,,,,
22.399988643825054,68.3511962890625,8.5,,,,,,,,
22.49998864531517,72.64199829101562,8.5,,,,,,,,
22.599988646805286,79.02269744873047,8.5,,,,,,,,
22.699988648295403,80.1626968383789,8.5,,,,,,,,
22.79998864978552,79.76679992675781,8.5,,,,,,,,
22.899988651275635,77.48690032958984,8.5,,,,,,,,
22.99998865276575,74.6686019897461,8.5,,,,,,,,
23.099988654255867,70.8844985961914,8.5,,,,,,,,
23.199988655745983,61.59049987792969,8.5,,,,,,,,
23.2999886572361,58.78810119628906,8.5,,,,,,,,
23.399988658726215,57.33140182495117,8.5,,,,,,,,
23.49998866021633,55.3047981262207,8.5,,,,,,,,
23.599988661706448,54.14899826049805,8.5,,,,,,,,
23.699988663196564,53.81650161743164,8.5,,,,,,,,
23.79998866468668,55.57400131225586,8.5,,,,,,,,
23.899988666176796,59.104698181152344,8.5,,,,,,,,
23.999988667666912,62.19219970703125,8.5,,,,,,,,
24.099988669157028,64.1238021850586,8.5,,,,,,,,
24.199988670647144,61.8754997253418,8.5,,,,,,,,
24.29998867213726,58.61389923095703,8.5,,,,,,,,
24.399988673627377,56.80889892578125,8.5,,,,,,,,
24.499988675117493,59.19969940185547,8.5,,,,,,,,
24.59998867660761,60.65639877319336,8.5,,,,,,,,
24.699988678097725,60.73550033569336,8.5,,,,,,,,
24.79998867958784,61.891300201416016,8.5,,,,,,,,
24.899988681077957,64.6146011352539,8.5,,,,,,,,
24.999988682568073,67.97119903564453,8.5,,,,,,,,
25.09998868405819,73.95610046386719,8.5,,,,,,,,
25.199988685548306,75.44439697265625,8.5,,,,,,,,
25.29998868703842,75.31770324707031,8.5,,,,,,,,
25.399988688528538,71.48619842529297,8.5,,,,,,,,
25.499988690018654,67.36959838867188,8.5,,,,,,,,
25.59998869150877,69.07949829101562,8.5,,,,,,,,
25.699988692998886,73.11699676513672,8.5,,,,,,,,
25.799988694489002,74.30439758300781,8.5,,,,,,,,
25.89998869597912,72.4520034790039,8.5,,,,,,,,
25.999988697469234,69.96620178222656,8.5,,,,,,,,
26.09998869895935,67.1321029663086,8.5,,,,,,,,
26.199988700449467,63.997100830078125,8.5,,,,,,,,
26.299988701939583,59.51639938354492,8.5,,,,,,,,
26.3999887034297,50.570701599121094,8.5,,,,,,,,
26.499988704919815,46.40660095214844,8.5,,,,,,,,
26.59998870640993,44.74420166015625,8.5,,,,,,,,
26.699988707900047,45.994998931884766,8.5,,,,,,,,
26.799988709390163,49.161598205566406,8.5,,,,,,,,
26.89998871088028,49.54159927368164,8.5,,,,,,,,
26.999988712370396,47.65739822387695,8.5,,,,,,,,
27.099988713860512,39.96260070800781,8.5,,,,,,,,
27.199988715350628,37.79349899291992,8.5,,,,,,,,
27.299988716840744,36.47930145263672,8.5,,,,,,,,
27.39998871833086,40.168399810791016,8.5,,,,,,,,
27.499988719820976,43.192501068115234,8.5,,,,,,,,
27.599988721311092,45.567501068115234,8.5,,,,,,,,
27.69998872280121,46.16910171508789,8.5,,,,,,,,
27.799988724291325,45.75749969482422,8.5,,,,,,,,
