TDEP,GR,NPHI,RHOB,DRHO,PE,CALI,DTC,HDRS,BSZ,DCALI
116.40000138431787,70.04216003417969,0.19123995304107666,2.4690232276916504,0.02293756976723671,4.244049072265625,8.387842178344727,96.86444854736328,6.102852821350098,8.5,-0.11215782165527344
116.50000138580799,73.30032348632812,0.19910505414009094,2.4665791988372803,0.02364196442067623,4.248129844665527,8.387842178344727,97.2024154663086,5.889593124389648,8.5,-0.11215782165527344
116.60000138729811,78.27111053466797,0.20110836625099182,2.457599401473999,0.022361785173416138,4.236361503601074,8.405388832092285,97.78739166259766,5.672353267669678,8.5,-0.09461116790771484
116.70000138878822,83.5008773803711,0.2058756798505783,2.4482533931732178,0.019669609144330025,4.228072166442871,8.427948951721191,97.64959716796875,5.514311790466309,8.5,-0.0720510482788086
116.80000139027834,87.32713317871094,0.21663479506969452,2.43668270111084,0.012017423287034035,4.282008171081543,8.444242477416992,93.59800720214844,5.5537943840026855,8.5,-0.05575752258300781
116.90000139176846,85.99044799804688,0.2156897485256195,2.4399685859680176,0.009799355641007423,4.336790561676025,8.444242477416992,,5.731499195098877,8.5,-0.05575752258300781
117.00000139325857,83.26696014404297,0.21446774899959564,2.447753667831421,0.009948685765266418,4.3912506103515625,8.459281921386719,110.3149642944336,5.860208034515381,8.5,-0.04071807861328125
117.10000139474869,84.91275024414062,0.21094416081905365,2.4541945457458496,0.0187087282538414,4.396824836730957,8.486228942871094,113.46456146240234,5.31547212600708,8.5,-0.01377105712890625
117.2000013962388,91.46249389648438,0.21909895539283752,2.4401698112487793,0.024450551718473434,4.3177618980407715,8.511921882629395,130.33450317382812,4.726607799530029,8.5,0.011921882629394531
117.30000139772892,100.42662048339844,0.2318717986345291,2.415536403656006,0.029431315138936043,4.208220481872559,8.5344820022583,130.33450317382812,4.204543113708496,8.5,0.03448200225830078
117.40000139921904,104.06072235107422,0.28250953555107117,2.3707151412963867,0.03357955813407898,4.031186580657959,8.526335716247559,126.06299591064453,3.7891345024108887,8.5,0.026335716247558594
117.50000140070915,95.6396255493164,0.29343917965888977,2.3632984161376953,0.031352292746305466,4.025461196899414,8.548269271850586,126.06299591064453,3.938077449798584,8.5,0.04826927185058594
117.60000140219927,83.55935668945312,0.2761213779449463,2.375319242477417,0.02837865613400936,4.099755764007568,8.528215408325195,127.63778686523438,4.339297771453857,8.5,0.028215408325195312
117.70000140368938,62.10560607910156,0.22687798738479614,2.432067632675171,0.020505204796791077,4.3888020515441895,8.493748664855957,113.46456909179688,6.042431354522705,8.5,-0.006251335144042969
117.8000014051795,55.38877868652344,0.20351074635982513,2.459449529647827,0.01610938273370266,4.543567180633545,8.476202011108398,113.46456909179688,7.350515842437744,8.5,-0.023797988891601562
117.90000140666962,49.31522750854492,0.18219605088233948,2.4810585975646973,0.014146793633699417,4.6713738441467285,8.41980266571045,87.08333587646484,8.710176467895508,8.5,-0.08019733428955078
118.00000140815973,45.614288330078125,0.14966824650764465,2.487941265106201,0.013657442294061184,4.793355941772461,8.409775733947754,83.54702758789062,9.891120910644531,8.5,-0.0902242660522461
