TDEP,BS,DRHO,PE,RHOB,CAL,NPHI,GR,RESD,DTC,DCAL
57.49998453259468,8.5,0.05920000001788139,3.6456000804901123,1.8509000539779663,9.422800064086914,49.35960006713867,116.58679962158203,9.401800155639648,125.0656967163086,
57.5999845340848,8.5,0.052299998700618744,3.6210999488830566,1.8284000158309937,9.47819995880127,51.25619888305664,122.35890197753906,8.774800300598145,126.1312026977539,
57.69998453557491,8.5,0.047200001776218414,3.607599973678589,1.7969000339508057,9.516799926757812,53.44770050048828,120.5344009399414,8.279999732971191,127.11589813232422,
57.79998453706503,8.5,0.0494999997317791,3.6094000339508057,1.7884000539779663,9.534799575805664,55.28120040893555,119.95390319824219,8.620200157165527,126.9906005859375,
57.899984538555145,8.5,0.05429999902844429,3.6152000427246094,1.7853000164031982,9.559200286865234,55.3119010925293,120.36849975585938,8.838600158691406,125.0885009765625,
57.99998454004526,8.5,0.07190000265836716,3.6122000217437744,1.8056999444961548,9.516799926757812,53.24409866333008,120.00360107421875,10.978099822998047,122.04429626464844,
58.09998454153538,8.5,0.08309999853372574,3.6006999015808105,1.829699993133545,9.454999923706055,51.038700103759766,111.8761978149414,12.293299674987793,117.73799896240234,
58.199984543025494,8.5,0.09570000320672989,3.6031999588012695,1.8604999780654907,9.377799987792969,48.640201568603516,97.01470184326172,14.767900466918945,112.05580139160156,
58.29998454451561,8.5,0.1185000017285347,3.6445999145507812,1.92739999294281,9.298100471496582,44.93280029296875,68.86730194091797,19.54759979248047,106.29989624023438,
58.399984546005726,8.5,0.12489999830722809,3.6756999492645264,1.9493000507354736,9.355999946594238,41.04499816894531,60.739898681640625,27.69070053100586,104.05349731445312,
58.49998454749584,8.5,0.12700000405311584,3.700200080871582,1.9594000577926636,9.422800064086914,37.76089859008789,56.34450149536133,34.159698486328125,104.677001953125,
58.59998454898596,8.5,0.1256999969482422,3.6882998943328857,1.9569000005722046,9.556599617004395,35.90010070800781,49.41130065917969,35.894901275634766,107.13860321044922,
58.699984550476074,8.5,0.12630000710487366,3.6535000801086426,1.9501999616622925,9.58240032196045,35.072601318359375,48.33319854736328,38.543701171875,107.72429656982422,
58.79998455196619,8.5,0.12950000166893005,3.6154000759124756,1.94760000705719,9.614500045776367,34.775001525878906,49.75960159301758,36.052398681640625,103.40850067138672,
58.89998455345631,8.5,0.1354999989271164,3.590100049972534,1.9502999782562256,9.637700080871582,35.237701416015625,53.74039840698242,39.277000427246094,101.15190124511719,
58.99998455494642,8.5,0.14560000598430634,3.528700113296509,1.9529000520706177,9.727700233459473,36.532100677490234,59.18080139160156,25.68239974975586,100.63719940185547,
59.09998455643654,8.5,0.149399995803833,3.4593000411987305,1.9483000040054321,9.790800094604492,39.036598205566406,62.48149871826172,17.91629981994629,102.70950317382812,
60.59998457878828,8.5,0.14030000567436218,3.6003000736236572,2.2111001014709473,8.406599998474121,33.04819869995117,89.45120239257812,5.082499980926514,177.7541961669922,
60.6999845802784,8.5,0.1216999962925911,3.8994998931884766,2.321199893951416,8.28439998626709,27.066200256347656,79.23390197753906,6.903200149536133,166.4468994140625,
60.79998458176851,8.5,0.10159999877214432,4.123799800872803,2.4014999866485596,8.277999877929688,22.86949920654297,71.88610076904297,9.281499862670898,151.0814971923828,
60.89998458325863,8.5,0.06710000336170197,4.392000198364258,2.4858999252319336,8.263799667358398,20.185800552368164,59.26369857788086,14.067700386047363,143.0207061767578,
60.999984584748745,8.5,0.05180000141263008,4.4629998207092285,2.5044000148773193,8.276700019836426,18.539100646972656,52.877899169921875,14.509699821472168,140.3916015625,
61.09998458623886,8.5,0.039900001138448715,4.498199939727783,2.522200107574463,8.307600021362305,17.551799774169922,48.36640167236328,14.039600372314453,141.21510314941406,
61.19998458772898,8.5,0.02539999969303608,4.413099765777588,2.529099941253662,8.31659984588623,18.11389923095703,54.4203987121582,12.510899543762207,143.9810028076172,
61.29998458921909,8.5,0.024399999529123306,4.283899784088135,2.513700008392334,8.3371000289917,20.451000213623047,64.75389862060547,10.084699630737305,151.57440185546875,
61.39998459070921,8.5,0.02800000086426735,4.101600170135498,2.483599901199341,8.338399887084961,23.821399688720703,78.10600280761719,7.383600234985352,157.12640380859375,
