TDEP,HDRA,PEFZ,RHOZ
660.146,-0.007761717,2.8027573,1.9555212
660.0952,0.0044038296,2.7813087,2.0647964
660.0444,0.02309513,2.6655114,2.1772735
659.9936,0.04359269,2.513446,2.2783053
659.9428,0.061596155,2.4021456,2.3566408
659.89197,0.07166386,2.412194,2.3935618
659.8412,0.07152748,2.4161768,2.3931894
659.7904,0.072993755,2.4187086,2.3944974
659.73956,0.07420516,2.4211555,2.3955088
659.6888,0.074043036,2.4235766,2.395667
659.638,0.07243729,2.4270327,2.3944788
659.5872,0.069197655,2.4325118,2.3919253
659.5364,0.06220627,2.440154,2.3861833
659.4856,0.053254843,2.4483848,2.3782198
659.4348,0.0434525,2.4790108,2.3697343
659.384,0.033548594,2.5262694,2.3628438
659.3332,0.02439642,2.575694,2.3608222
659.2824,0.016657352,2.6198037,2.365122
659.23157,0.009907007,2.6574717,2.3741293
659.1808,0.0037047863,2.6950617,2.3844466
659.13,-0.0020344257,2.7321799,2.3942819
659.07916,-0.004831314,2.7647476,2.4054978
659.0284,-0.006071329,2.7877166,2.4170618
658.9776,-0.0063216686,2.7803326,2.4271135
658.9268,-0.006059408,2.7502515,2.4326916
658.876,-0.005905628,2.7124965,2.4303434
658.8252,-0.0059309006,2.674103,2.4201424
658.7744,-0.0058448315,2.6320753,2.405106
658.7236,-0.003815174,2.591539,2.3926914
658.6728,0.002224207,2.5536692,2.3867939
658.622,0.008131504,2.5168374,2.383706
658.57117,0.012355328,2.4867716,2.3805785
658.5204,0.014859438,2.462039,2.377225
658.4696,0.016350508,2.4422195,2.3763053
658.41876,0.017693281,2.4284632,2.3792408
658.368,0.018995285,2.421462,2.384402
658.3172,0.019882679,2.423637,2.3894286
658.2664,0.018572092,2.4197695,2.3896208
658.2156,0.013893366,2.4092324,2.3853965
658.1648,0.010141373,2.3987405,2.3821824
658.114,0.008254051,2.3879313,2.3816302
658.0632,0.00777936,2.3757298,2.3836677
658.0124,0.0076873302,2.3586774,2.3848474
657.9616,0.0070877075,2.3327267,2.3832614
657.91077,0.005866289,2.3085852,2.379286
657.86,0.0043804646,2.2856407,2.373901
657.8092,0.0033791065,2.2649815,2.36906
657.75836,0.0023829937,2.2442458,2.3632722
657.7076,0.0012636185,2.2220213,2.3565414
657.6568,5.4836273e-06,2.201598,2.3495631
657.606,-0.0006687641,2.1906424,2.3444657
657.5552,-0.0005955696,2.1886623,2.342116
657.5044,0.00022315979,2.1961412,2.3432312
657.4536,0.0014853477,2.2008822,2.3476424
657.4028,0.0029563904,2.2033741,2.3538377
657.352,0.004668951,2.2052565,2.361502
657.3012,0.006742239,2.2082167,2.3697412
657.25037,0.00873208,2.21284,2.3767216
657.1996,0.009783268,2.216254,2.3805175
657.1488,0.009795666,2.2126672,2.3795438
657.098,0.009552002,2.2040524,2.376711
657.0472,0.0092225075,2.1934369,2.3728094
656.9964,0.009272099,2.184222,2.3697562
656.9456,0.010158539,2.1782084,2.368235
656.8948,0.011035681,2.176949,2.366423
656.844,0.012789726,2.1823409,2.3661468
656.7932,0.011971712,2.1937037,2.3632412
656.7424,0.011283636,2.2084644,2.3613753
656.6916,0.01094389,2.2385576,2.3621154
656.6408,0.010442495,2.2803485,2.3642137
656.58997,0.009745836,2.3281412,2.367854
656.5392,0.008507252,2.3788846,2.371624
656.4884,0.0061690807,2.4374418,2.3740804
656.4376,0.0033397675,2.5007935,2.3758569
656.3868,-0.0007920265,2.5594895,2.3761091
656.336,-0.0024950504,2.6097052,2.3797388
656.2852,-0.0031039715,2.6518517,2.3851852
656.2344,-0.0034184456,2.676973,2.3900256
656.1836,-0.003556013,2.6875849,2.3927433
656.1328,-0.003733158,2.6890607,2.3916297
656.082,-0.0038311481,2.6751752,2.3877487
656.0312,-0.0034019947,2.638198,2.3835552
655.9804,-0.0026445389,2.5830166,2.3789015
655.92957,-0.001642704,2.5242224,2.3735964
655.8788,-0.0008108616,2.4609807,2.3669188
655.828,-0.0003285408,2.3988962,2.3594115
655.7772,0.0002503395,2.337613,2.3530095
655.7264,0.0008251667,2.2790926,2.3475156
655.6756,0.0009739399,2.2189527,2.3421698
655.6248,0.0007469654,2.1786702,2.3359816
655.574,7.081032e-05,2.1584558,2.3292954
655.5232,-0.000749588,2.1556058,2.323081
655.4724,-0.0018105507,2.1616774,2.3172014
655.4216,-0.0027360916,2.1779635,2.313107
655.3708,-0.0036637783,2.2034013,2.3101504
655.32,-0.0042500496,2.23002,2.3093808
655.26917,-0.0047290325,2.2586372,2.3106873
655.2184,-0.004669428,2.293765,2.3151083
655.1676,-0.004220009,2.3182373,2.3228498
655.1168,-0.0034816265,2.3367643,2.3322852
655.066,-0.0025827885,2.3478522,2.3428924
655.0152,-0.0016272068,2.3513217,2.3538098
654.9644,-0.00090265274,2.3547804,2.3626633
654.9136,-0.00025129318,2.352865,2.3702955
654.8628,-0.00022387505,2.354724,2.3740191
654.812,-0.00024604797,2.355726,2.3755422
654.76117,-0.00024914742,2.3569746,2.3752456
654.7104,-0.00042533875,2.3636,2.3724089
654.6596,-0.0010089874,2.3778474,2.3669944
654.60876,-0.0017704964,2.3994188,2.3606014
654.558,-0.0026147366,2.4268112,2.3550115
654.5072,-0.0031061172,2.4497416,2.353551
654.4564,-0.0030741692,2.4681444,2.356095
654.4056,-0.002865076,2.4810877,2.3614824
654.3548,-0.0028662682,2.490085,2.367249
654.304,-0.003437996,2.4966404,2.3711083
654.2532,-0.004277706,2.4970717,2.3731651
654.2024,-0.004692793,2.4843736,2.3750827
654.1516,-0.004691124,2.4564795,2.3765368
654.10077,-0.004098654,2.4136655,2.3773263
654.05,-0.0038013458,2.3762555,2.372784
653.9992,-0.004389763,2.352184,2.3623245
653.94836,-0.005064726,2.3409624,2.3492386
653.8976,-0.005048752,2.3393025,2.3380725
653.8468,-0.004039526,2.336068,2.3331437
653.796,-0.0020797253,2.3493495,2.334182
653.7452,0.00021862984,2.3742027,2.3395507
653.6944,0.002207756,2.4125369,2.3469074
653.6436,0.0044612885,2.465489,2.3561814
653.5928,0.008491278,2.5179813,2.3706295
653.542,0.0121695995,2.5595336,2.3870327
653.4912,0.014752626,2.5850644,2.4042306
653.44037,0.01457572,2.59419,2.4169407
653.3896,0.014863968,2.5995219,2.4250576
653.3388,0.013737917,2.579421,2.4256802
