Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,Log10_RESD,DT,RHOB,DRHO,NPHI,PE,interpolada,PE.1
1-BRSA-643-SE,323.6,BANANE,BANANE,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,8.412500381469727,-0.0874996185302734,118.61865234375,8.582242965698242,0.9336008053689198,90.73745346069336,2.478667616844177,-0.0083712339401244,0.3290181756019592,3.9223207235336304,True,
1-BRSA-643-SE,323.7,BANANE,BANANE,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,8.412500381469727,-0.0874996185302734,114.35702514648438,8.669021606445312,0.9379700853771396,91.2663803100586,2.483945369720459,-0.0081174373626708,0.3309415578842163,3.8924484252929688,False,
1-BRSA-643-SE,323.8,BANANE,BANANE,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,8.412500381469727,-0.0874996185302734,110.99567413330078,8.782700538635254,0.9436280749830932,90.45411682128906,2.497915983200073,-0.0065159797668457,0.3121111989021301,3.827195167541504,False,
1-BRSA-643-SE,323.9,BANANE,BANANE,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,8.412500381469727,-0.0874996185302734,107.34397888183594,8.707127094268799,0.9398748837195052,90.637939453125,2.498404383659363,-0.0064116716384887,0.3088376522064209,3.819580554962158,True,
1-BRSA-643-SE,324.0,BANANE,BANANE,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,8.412500381469727,-0.0874996185302734,103.6922836303711,8.631553649902344,0.9360889742610004,90.82176208496094,2.4988927841186523,-0.0063073635101318,0.3055641055107116,3.811965942382813,False,
1-BRSA-643-SE,324.1,BANANE,BANANE,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,8.418404579162598,-0.0815954208374022,109.9602279663086,8.529736042022705,0.9309355918631024,91.16759872436523,2.493963360786438,-0.0067964792251586,0.2963161319494247,3.819754481315613,True,
1-BRSA-643-SE,324.2,BANANE,BANANE,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,8.424308776855469,-0.0756912231445312,116.2281723022461,8.427918434143066,0.9257203238305816,91.51343536376952,2.489033937454224,-0.0072855949401855,0.2870681583881378,3.827543020248413,False,
1-BRSA-643-SE,324.6,BANANE,BANANE,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,8.436117172241211,-0.063882827758789,104.41022491455078,7.927443027496338,0.899133129547077,93.71896362304688,2.481642007827759,-0.0029788017272949,0.3310005366802215,3.841270446777344,False,
1-BRSA-643-SE,324.7,BANANE,BANANE,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,8.436117172241211,-0.063882827758789,101.40283966064452,7.925871849060059,0.8990470460834596,93.93390274047852,2.48577082157135,-0.0015090703964233,0.3323713541030884,3.8082199096679688,True,
1-BRSA-643-SE,324.8,BANANE,BANANE,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,8.436117172241211,-0.063882827758789,98.39545440673828,7.924300670623779,0.8989609455534686,94.14884185791016,2.4898996353149414,-3.933906555175781e-05,0.3337421715259552,3.7751693725585938,False,
