TDEP,BS,RT,GR,NPHI,DCAL,DT
290520.0,8.5,1.6319549,97.17866,0.5122091,-4.7697763,103.694336
290460.0,8.5,1.5826669,97.17866,0.5122091,-4.7697763,103.694336
290400.0,8.5,1.5504558,97.17866,0.5122091,-4.7697763,103.694336
290340.0,8.5,1.5682155,97.17866,0.5122091,-4.7697763,103.694336
290280.0,8.5,1.6062797,97.17866,0.5122091,-4.7697763,103.694336
290220.0,8.5,1.6819801,97.17866,0.5122091,-4.7697763,103.694336
290160.0,8.5,1.73579,97.17866,0.5122091,-4.7697763,103.694336
290100.0,8.5,1.7652698,97.17866,0.5122091,-4.7697763,103.694336
290040.0,8.5,1.8459588,97.17866,0.5122091,-4.7697763,103.694336
289980.0,8.5,2.0926611,97.17866,0.5122091,-4.7697763,103.694336
289920.0,8.5,2.1110916,97.17866,0.5122091,-4.7697763,103.694336
289860.0,8.5,1.9176956,97.17866,0.5122091,-4.7697763,103.694336
289800.0,8.5,1.931482,97.17866,0.5122091,-4.7697763,103.694336
289740.0,8.5,1.9292296,97.17866,0.5122091,-4.7697763,103.694336
289680.0,8.5,1.8417984,97.17866,0.5122091,-4.7697763,105.81333
289620.0,8.5,1.7398918,97.17866,0.5122091,-4.7697763,105.88859
289560.0,8.5,1.6935362,97.17866,0.5122091,-4.7697763,105.890335
289500.0,8.5,1.6900004,97.17866,0.5122091,-4.7697763,105.75936
289440.0,8.5,1.7236112,97.17866,0.5122091,-4.7697763,104.93367
289380.0,8.5,1.715807,97.17866,0.5122091,-4.7697763,87.92801
289320.0,8.5,1.7223483,97.17866,0.5122091,-4.7697763,87.54122
289260.0,8.5,1.7174841,97.17866,0.5122091,-4.7697763,104.09313
289200.0,8.5,1.6985313,97.17866,0.5122091,-4.7697763,87.71731
289140.0,8.5,1.6636931,97.17866,0.5122091,-4.7697763,87.43796
289080.0,8.5,1.6385362,97.17866,0.5122091,-4.7697763,88.26037
289020.0,8.5,1.627026,97.17866,0.5122091,-4.7697763,88.29912
288960.0,8.5,1.6284753,97.17866,0.5122091,-4.7697763,89.30712
288900.0,8.5,1.6412631,97.17866,0.5122091,-4.7697763,106.90033
288840.0,8.5,1.6580139,97.17866,0.5122091,-4.7697763,88.6856
288780.0,8.5,1.6927074,97.17866,0.5122091,-4.7697763,106.56772
288720.0,8.5,1.7220206,97.17866,0.5122091,-4.7697763,105.540184
288660.0,8.5,1.744435,97.17866,0.5122091,-4.7697763,104.39299
288600.0,8.5,1.7686814,97.17866,0.5122091,-4.7697763,103.74105
288540.0,8.5,1.8157355,97.17866,0.5122091,-4.7697763,102.95506
288480.0,8.5,1.8945949,97.17866,0.5122091,-4.7697763,100.77927
288420.0,8.5,1.9556882,97.17866,0.5122091,-4.7697763,99.403114
288360.0,8.5,1.9324515,97.17866,0.5122091,-4.7697763,99.693474
288300.0,8.5,1.912624,97.17866,0.5122091,-4.7697763,99.96869
288240.0,8.5,1.9195433,97.17866,0.5122091,-4.7697763,101.18507
288180.0,8.5,1.8934611,97.17866,0.5122091,-4.7697763,102.07637
288120.0,8.5,1.8450997,97.17866,0.5122091,-4.7697763,103.41093
288060.0,8.5,1.8243492,97.17866,0.5122091,-4.7697763,104.530945
288000.0,8.5,1.8153844,97.17866,0.5122091,-4.7697763,104.22489
287940.0,8.5,1.8733149,97.17866,0.5122091,-4.7697763,103.37375
287880.0,8.5,1.9004271,97.17866,0.5122091,-4.7697763,101.8503
287820.0,8.5,1.9832419,97.17866,0.5122091,-4.7697763,101.07262
287760.0,8.5,1.9966861,97.17866,0.5122091,-4.7697763,101.36063
287700.0,8.5,1.9236963,97.17866,0.5122091,-4.7697763,102.70127
287640.0,8.5,1.8268487,97.17866,0.51214296,-4.762578,103.10045
287580.0,8.5,1.7006266,97.17866,0.4674372,-0.11789608,105.02258
287520.0,8.5,1.6741481,97.17866,0.4673728,-0.11275482,105.569695
287460.0,8.5,1.6544012,97.17866,0.46701214,-0.083963394,107.4989
287400.0,8.5,1.5611929,97.17866,0.46678668,-0.06596851,107.99086
287340.0,8.5,1.4774002,97.17866,0.4669039,-0.075325966,107.7288
287280.0,8.5,1.4111778,97.17866,0.46680918,-0.0677681,107.84306
287220.0,8.5,1.3894236,97.17866,0.467215,-0.10015869,107.10451
287160.0,8.5,1.4147965,97.17866,0.46717438,-0.09691906,104.85771
287100.0,8.5,1.4907141,97.17866,0.46701214,-0.083963394,104.38667
287040.0,8.5,1.5387088,97.17866,0.46714738,-0.09475994,89.3501
286980.0,8.5,1.5985255,97.17866,0.46706617,-0.08828163,89.37754
286920.0,8.5,1.6424402,97.17866,0.46680918,-0.0677681,88.45856
286860.0,8.5,1.6830786,97.17866,0.4668768,-0.07316685,88.55517
286800.0,8.5,1.7048831,97.17866,0.46556932,0.031202316,103.30966
286740.0,8.5,1.7078252,97.17866,0.46633583,-0.029979706,103.83742
286680.0,8.5,1.7758722,97.17866,0.46620056,-0.019182205,103.579094
286620.0,8.5,1.7426453,97.17866,0.46647108,-0.040776253,103.81445
286560.0,8.5,1.7447853,97.17866,0.46674156,-0.062369347,104.98427
286500.0,8.5,1.8154078,97.17866,0.46660632,-0.0515728,102.784515
286440.0,8.5,1.9506594,97.17866,0.46674156,-0.062369347,101.98197
286380.0,8.5,2.159485,97.17866,0.46606526,-0.008385658,103.73597
286320.0,8.5,2.0361116,97.17866,0.46717396,-0.0515728,104.47357
286260.0,8.5,1.798266,97.17866,0.46748182,-0.019182205,107.89089
286200.0,8.5,1.7222738,97.17866,0.46784222,0.013208389,111.390945
286140.0,8.5,1.7341524,97.17866,0.42859688,0.06719208,109.91403
286080.0,8.5,1.724376,97.17866,0.39376438,0.024004936,109.32218
286020.0,8.5,1.7417023,97.17866,0.35802352,0.509861,107.91733
285960.0,8.5,1.7636251,97.17866,0.3623585,0.21834755,105.92564
285900.0,8.5,1.796493,97.17866,0.35207835,0.013208389,105.410194
285840.0,8.5,1.8559588,97.17866,0.33878246,0.0024108887,105.80544
285780.0,8.5,1.9880959,97.17866,0.33125564,0.013208389,103.6456
285720.0,8.5,1.9078025,97.17866,0.33645532,0.013208389,102.52902
285660.0,8.5,1.8947873,97.17866,0.33763456,-0.008385658,101.53189
285600.0,8.5,1.9293873,97.17866,0.338928,-0.019182205,101.22508
285540.0,8.5,1.9888155,97.17866,0.33478752,-0.019182205,99.905
285480.0,8.5,2.032331,106.40137,0.3221607,-0.019182205,99.80952
285420.0,8.5,2.0372796,115.18859,0.32275432,0.013208389,99.07043
285360.0,8.5,2.029187,123.39622,0.31994683,0.0024108887,98.79157
285300.0,8.5,2.043306,125.0033,0.32704753,0.024004936,97.47165
285240.0,8.5,2.1130579,124.42794,0.32810116,-0.019182205,97.55037
