Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,DT,RHOB,DRHO,NPHI,PE,interpolada
1-BRSA-459-SE,472.7,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.692956924438477,0.1929569244384765,99.4081039428711,6.479106903076172,99.87408447265624,2.428020000457764,-0.0079600811004638,0.3068978190422058,3.480415344238281,False
1-BRSA-459-SE,472.8,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.681275844573975,0.18127584457397455,91.90409469604492,7.335848808288574,94.60679626464844,2.4437315464019775,-0.00781536102294915,0.2708292827010155,3.4324194192886353,True
1-BRSA-459-SE,472.9,MURIBE,CARMOP,,False,False,False,True,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.669594764709473,0.1695947647094726,84.40008544921875,8.192590713500977,89.33950805664062,2.4594430923461914,-0.0076706409454345,0.2347607463598251,3.3844234943389893,False
1-BRSA-459-SE,473.0,MURIBE,CARMOP,,False,False,True,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.672931671142578,0.1729316711425781,79.412841796875,8.72724723815918,86.42424774169922,2.4699254035949707,-7.581710815429688e-05,0.2311654835939407,3.2787623405456543,False
1-BRSA-459-SE,473.1,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.67626953125,0.17626953124999994,80.6417350769043,8.180649042129517,87.69232940673828,2.456255793571472,0.00025105476379390156,0.23639502376317975,3.2345443964004517,True
1-BRSA-459-SE,473.2,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.679607391357422,0.1796073913574218,81.8706283569336,7.634050846099853,88.96041107177734,2.4425861835479736,0.0005779266357421,0.2416245639324188,3.190326452255249,False
1-BRSA-459-SE,473.3,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.674601078033447,0.1746010780334472,86.02372741699219,7.397121429443359,92.51183319091797,2.427343249320984,-0.00042581558227540006,0.2549137771129608,3.1612191200256348,True
1-BRSA-459-SE,473.4,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.669594764709473,0.1695947647094726,90.17682647705078,7.160192012786865,96.0632553100586,2.412100315093994,-0.0014295578002929,0.2682029902935028,3.1321117877960205,False
1-BRSA-459-SE,473.5,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.65290641784668,0.1529064178466797,93.2560806274414,6.827643394470215,98.7669677734375,2.41013240814209,-0.0077297687530517,0.2623430490493774,3.126225471496582,False
1-BRSA-459-SE,473.6,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.656244277954102,0.15624427795410156,91.94991302490234,7.113963842391968,96.41513442993164,2.4233973026275635,-0.00769186019897455,0.2592976540327072,3.1427416801452637,True
1-BRSA-459-SE,473.7,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.659582138061523,0.1595821380615234,90.64374542236328,7.400284290313721,94.06330108642578,2.436662197113037,-0.0076539516448974,0.256252259016037,3.1592578887939453,False
1-BRSA-459-SE,473.8,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.689620018005371,0.1896200180053711,89.66574096679688,8.659059524536133,97.39079284667967,2.455516815185547,-0.0067899227142333,0.2488392889499664,3.247861862182617,False
1-BRSA-459-SE,473.9,MURIBE,CARMOP,,False,False,False,True,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.69963264465332,0.1996326446533203,92.86452102661133,8.338804721832275,95.8844108581543,2.4585301876068115,-0.007126808166503851,0.2515052258968353,3.2932040691375732,True
1-BRSA-459-SE,474.0,MURIBE,CARMOP,,False,False,True,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.70964527130127,0.2096452713012695,96.06330108642578,8.018549919128418,94.3780288696289,2.461543560028076,-0.0074636936187744,0.2541711628437042,3.3385462760925293,False
1-BRSA-459-SE,474.1,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.70964527130127,0.2096452713012695,106.5805435180664,6.8377838134765625,94.13581085205078,2.456754207611084,-0.007138967514038,0.2773512303829193,3.449954032897949,False
1-BRSA-459-SE,474.2,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.719657897949219,0.2196578979492187,111.1547622680664,6.685687065124512,101.08506393432617,2.4553507566452026,-0.0052289962768554,0.29459303617477417,3.4862611293792725,True
1-BRSA-459-SE,474.3,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.729670524597168,0.2296705245971679,115.7289810180664,6.533590316772461,108.03431701660156,2.4539473056793213,-0.0033190250396728,0.311834841966629,3.522568225860596,False
1-BRSA-459-SE,474.4,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.739683151245117,0.2396831512451172,122.0143814086914,6.035683631896973,108.3018569946289,2.428006649017334,-0.0013413429260253,0.3407057821750641,3.6086502075195312,False
1-BRSA-459-SE,474.5,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.719657897949219,0.21965789794921875,122.79975891113281,5.666382312774658,109.53600311279297,2.4132325649261475,-0.002459168434143,0.3474619388580322,3.6182814836502075,True
1-BRSA-459-SE,474.6,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.69963264465332,0.1996326446533203,123.58513641357422,5.297080993652344,110.77014923095705,2.398458480834961,-0.0035769939422607,0.3542180955410003,3.627912759780884,False
1-BRSA-459-SE,474.7,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.689620018005371,0.1896200180053711,109.28915405273438,5.377073764801025,109.72325134277344,2.390098094940185,-0.0048558712005615,0.3203242421150207,3.522877693176269,False
1-BRSA-459-SE,474.8,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.704638957977295,0.2046389579772949,103.54966735839844,5.600924491882324,108.03701400756836,2.38721239566803,-0.0056326389312744,0.31144495308399195,3.436086773872375,True
1-BRSA-459-SE,474.9,MURIBE,CARMOP,,False,False,False,True,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.719657897949219,0.2196578979492187,97.8101806640625,5.824775218963623,106.35077667236328,2.384326696395874,-0.0064094066619873,0.3025656640529632,3.349295854568481,False
1-BRSA-459-SE,475.0,MURIBE,CARMOP,,False,False,True,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.729670524597168,0.2296705245971679,91.13995361328124,4.9859490394592285,107.55941009521484,2.3672213554382324,-0.0081024169921875,0.3168551623821258,3.19281005859375,False
