Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,DRHO,DT,GR,RESD,NPHI,PE,PE.1,RHOB,interpolada
1-BRSA-645-SE,13.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,13.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,13.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,13.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,13.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,13.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,13.8,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,13.9,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,14.0,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,14.1,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,14.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,14.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,14.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,14.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,14.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,14.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,14.8,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,14.9,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,15.0,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,15.1,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,15.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,15.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,15.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,15.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,15.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,15.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,15.8,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,15.9,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,16.0,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,16.1,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,16.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,16.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,16.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,16.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,16.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,16.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,16.8,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,16.9,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,17.0,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,17.1,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,17.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,17.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,17.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,17.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,17.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,17.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,17.8,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,17.9,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,18.0,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,18.1,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,18.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,18.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,18.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,18.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,18.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,18.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,18.8,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,18.9,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,19.0,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,19.1,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,19.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,19.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,19.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
