TDEP,BS,GR,NPHI,DT
49.6062,8.5,33.880695,0.040322088,60.396423
49.59096,8.5,32.810833,0.030393125,57.912827
49.57572,8.5,33.787766,0.03328867,56.35501
49.56048,8.5,34.10892,0.04493435,58.17675
49.54524,8.5,36.303097,0.057596862,59.33864
49.53,8.5,34.534992,0.050146937,61.056618
49.51476,8.5,30.14665,0.0384491,58.708656
49.49952,8.5,27.074808,0.021091571,56.093384
49.48428,8.5,29.846365,0.018966319,56.821045
49.46904,8.5,28.968695,0.013885262,55.397865
49.4538,8.5,28.65846,0.0109658,55.0664
49.43856,8.5,21.631475,0.005679458,53.610435
49.42332,8.5,22.509146,0.0016048818,52.45362
49.408077,8.5,25.758307,0.001713265,54.467873
49.392838,8.5,32.121407,0.0129035525,59.340683
49.377598,8.5,38.92334,0.043778077,63.183342
49.362362,8.5,41.694897,0.08101817,65.40456
49.347122,8.5,38.403637,0.08526295,63.61801
49.33188,8.5,38.623055,0.07426725,61.348946
49.31664,8.5,36.61615,0.06493203,60.56814
49.3014,8.5,39.02974,0.056523837,62.74214
49.28616,8.5,36.835567,0.04500114,62.14995
49.27092,8.5,38.07568,0.026685389,61.53782
49.255676,8.5,37.417423,0.028743006,62.06373
49.24044,8.5,41.687027,0.05247599,63.479187
49.2252,8.5,43.76469,0.08312296,66.31548
49.20996,8.5,44.696507,0.09912275,66.29827
49.19472,8.5,45.254086,0.09291923,66.51717
49.179478,8.5,46.79001,0.09067377,65.42793
49.164238,8.5,44.322266,0.071186595,62.390266
49.149,8.5,34.887325,0.04844471,67.049774
49.13376,8.5,29.782763,0.018892711,55.932976
49.11852,8.5,24.955584,0.010236861,53.43387
49.10328,8.5,22.761412,0.0071437135,55.979042
49.08804,8.5,22.819374,0.005407746,56.45468
49.0728,8.5,25.612427,0.004829111,56.371376
49.05756,8.5,27.367765,0.004048748,56.01655
49.04232,8.5,22.979422,0.0035171746,53.756355
49.027077,8.5,20.405787,0.003014076,53.77665
49.011837,8.5,21.935844,0.0020947808,53.665695
48.9966,8.5,24.130018,0.0020827628,53.83988
48.98136,8.5,25.66594,0.0020623459,53.589165
48.96612,8.5,23.417551,0.002439747,53.837234
48.95088,8.5,21.003962,0.0013152245,53.42827
48.93564,8.5,18.80979,0.00021669001,53.011063
48.9204,8.5,20.186369,-0.00077573827,52.282967
48.90516,8.5,19.962263,-0.00071101676,52.582497
48.88992,8.5,22.595268,0.00015976415,52.58982
48.87468,8.5,20.181679,0.0006869638,52.36782
48.85944,8.5,19.436594,0.00023111863,52.961006
48.8442,8.5,18.99776,-0.0006873851,52.81315
48.82896,8.5,21.411352,0.00021157408,52.400993
48.81372,8.5,23.477629,0.0029664051,53.6364
48.798477,8.5,25.891218,0.005560248,53.275467
48.783237,8.5,23.916464,0.0042706677,52.77761
48.767998,8.5,25.362268,0.0015887611,52.506668
48.75276,8.5,20.973925,-0.00042306347,52.68325
48.737522,8.5,26.459356,0.00088594545,53.628838
48.72228,8.5,26.549469,0.0026109184,53.601357
48.70704,8.5,28.304808,0.0038926722,53.67005
48.6918,8.5,21.405823,0.0033739184,52.93017
48.67656,8.5,20.08932,0.0034516933,52.343864
48.66132,8.5,21.844658,0.0027700965,52.763588
48.64608,8.5,23.35466,0.0024345387,53.413414
48.63084,8.5,23.35466,0.0026094646,54.255783
48.6156,8.5,20.721655,0.002238959,53.62683
48.60036,8.5,24.484602,0.0026911916,53.44542
48.58512,8.5,23.387514,0.003062589,53.2051
48.569878,8.5,24.923437,0.0030590717,52.495132
48.554638,8.5,21.72229,0.0019266163,52.5717
48.5394,8.5,21.502874,0.0015538193,52.62178
48.52416,8.5,20.088148,0.0009845024,52.310013
48.50892,8.5,20.307566,-3.1672394e-06,52.454605
48.49368,8.5,18.552229,-0.001570134,52.199814
48.47844,8.5,19.966953,-0.0009998806,52.766853
48.4632,8.5,22.819376,0.0019509804,53.22428
48.44796,8.5,27.865974,0.008982272,54.713852
48.43272,8.5,31.976938,0.019265275,59.674507
48.417477,8.5,41.41188,0.06962728,70.83713
48.402237,8.5,62.25652,0.16954215,80.726006
48.387,8.5,92.31534,0.29046786,95.33939
48.37176,8.5,117.54832,0.41641828,105.11249
48.35652,8.5,129.83568,0.42501578,111.652824
48.341278,8.5,124.86318,0.44809768,120.505486
48.32604,8.5,115.64765,0.41388544,122.95916
48.3108,8.5,109.94281,0.41930628,126.67336
48.29556,8.5,96.54357,0.38621423,114.364555
48.28032,8.5,70.2135,0.2696797,94.12005
48.26508,8.5,38.77676,0.15370277,75.04942
48.24984,8.5,23.636969,0.027140722,56.734184
48.2346,8.5,21.662214,0.0071994867,52.75801
48.21936,8.5,24.161196,0.0016156071,53.294815
48.20412,8.5,27.01362,0.0009728989,56.9308
48.188877,8.5,27.452456,0.005481819,56.084663
48.173637,8.5,27.865973,0.008015121,56.44478
48.158398,8.5,24.355295,0.008164022,55.72061
48.14316,8.5,26.768885,0.004904209,53.647163
48.127922,8.5,22.852934,0.0037510411,53.61772
48.11268,8.5,24.60827,0.0028574446,53.276314
48.09744,8.5,24.169436,0.0019935973,53.568375
48.0822,8.5,26.669489,0.0018618484,52.71145
48.06696,8.5,26.888906,0.0013511786,52.117767
48.05172,8.5,25.572403,0.000577178,52.184753
48.03648,8.5,22.821486,-0.00019609764,52.247467
48.02124,8.5,21.504982,0.0009014288,52.424736
48.006,8.5,21.382719,0.0018232412,52.74968
47.99076,8.5,28.008173,0.0063005453,52.91883
47.97552,8.5,35.72556,0.017759463,56.92003
47.960278,8.5,52.523533,0.08597928,64.22627
47.945038,8.5,73.98138,0.19363683,74.590866
47.9298,8.5,93.00945,0.27344763,87.1753
47.91456,8.5,96.73954,0.28638485,89.04896
47.899323,8.5,87.74343,0.23605715,91.190605
47.88408,8.5,78.55135,0.19643751,86.65355
47.86884,8.5,73.50475,0.17576765,77.86056
47.8536,8.5,70.47281,0.17220712,78.24664
47.83836,8.5,61.257282,0.16500716,75.44921
47.82312,8.5,60.1602,0.17466198,78.463646
47.807877,8.5,62.095062,0.19469514,80.484024
47.79264,8.5,69.72707,0.21194912,81.25697
47.7774,8.5,65.99699,0.22019581,80.06246
47.76216,8.5,62.266888,0.2242208,74.80699
47.74692,8.5,58.27907,0.24164411,74.097115
47.731678,8.5,62.009167,0.28500283,76.09538
47.71644,8.5,65.95868,0.32257956,79.96438
47.7012,8.5,73.735435,0.3401793,86.20091
47.68596,8.5,84.04804,0.35378954,93.39007
47.67072,8.5,98.09075,0.3410761,98.71419
47.65548,8.5,104.003746,0.35267025,102.091484
47.64024,8.5,96.98239,0.34476736,100.49042
47.625,8.5,85.27334,0.32218933,96.01785
47.60976,8.5,85.053925,0.3193054,98.769066
47.59452,8.5,96.68304,0.30857134,94.97634
47.579277,8.5,105.320244,0.34974244,98.180405
47.564037,8.5,107.15255,0.33921182,95.06808
47.548798,8.5,93.32926,0.32589254,87.14243
47.53356,8.5,87.405,0.30173624,90.24192
47.518322,8.5,91.71637,0.31321847,93.59938
47.50308,8.5,106.8402,0.32381088,94.942856
47.48784,8.5,112.106224,0.31519958,99.31258
47.4726,8.5,111.228546,0.3136595,96.449
47.45736,8.5,109.928,0.28312048,89.89979
47.44212,8.5,111.97284,0.27898625,92.69476
47.42688,8.5,112.85052,0.26468888,92.62259
47.41164,8.5,118.55537,0.2844662,95.838135
47.3964,8.5,125.11614,0.29813454,102.77459
47.38116,8.5,131.69865,0.31787512,106.22951
47.36592,8.5,124.89673,0.31726265,108.73707
47.350677,8.5,121.77655,0.31813353,102.48313
47.335438,8.5,107.08567,0.29471293,93.70489
47.320198,8.5,105.11091,0.274067,88.94584
47.30496,8.5,92.82355,0.24695003,85.86059
47.289722,8.5,100.05424,0.23806816,83.07061
47.27448,8.5,102.16886,0.2619884,83.07669
47.25924,8.5,111.16498,0.2759057,91.13097
47.244,8.5,110.287315,0.28780293,96.7731
47.22876,8.5,104.00376,0.26726204,98.39685
47.21352,8.5,102.46784,0.23615254,90.94302
