FRAMENO,TDEP,TIME,HCAL
258,261670.0,82.41797,3.887136
259,261660.0,82.41797,3.887136
260,261650.0,83.54297,3.887136
261,261640.0,83.54297,3.887136
262,261630.0,83.54297,3.887136
263,261620.0,83.54297,3.887136
264,261610.0,83.54297,3.887136
265,261600.0,83.53516,3.887136
266,261590.0,82.95703,3.887136
267,261580.0,82.95703,3.887136
268,261570.0,82.95703,3.887136
269,261560.0,82.95703,3.887136
270,261550.0,82.95703,3.887136
271,261540.0,82.96484,3.887136
272,261530.0,79.54297,3.887136
273,261520.0,79.54297,3.887136
274,261510.0,79.54297,3.887136
275,261500.0,79.54297,3.887136
276,261490.0,79.54297,3.887136
277,261480.0,79.53516,3.887136
278,261470.0,84.25,3.887136
279,261460.0,84.25,3.887136
280,261450.0,84.25,3.887136
281,261440.0,84.25,3.887136
282,261430.0,84.25,3.887136
283,261420.0,84.25,3.887136
284,261410.0,83.70703,3.887136
285,261400.0,83.70703,3.887136
286,261390.0,83.70703,3.887136
287,261380.0,83.70703,3.887136
288,261370.0,83.70703,3.887136
289,261360.0,83.71484,3.887136
290,261350.0,83.375,3.887136
291,261340.0,83.375,3.887136
292,261330.0,83.375,3.887136
293,261320.0,83.375,3.887136
294,261310.0,83.375,3.887136
295,261300.0,83.375,3.887136
296,261290.0,82.875,3.887136
297,261280.0,82.875,3.887136
298,261270.0,82.875,3.887136
299,261260.0,82.875,3.887136
300,261250.0,82.875,3.887136
301,261240.0,82.875,3.887136
302,261230.0,86.25,3.887136
303,261220.0,86.25,3.887136
304,261210.0,86.25,3.887136
305,261200.0,86.25,3.887136
306,261190.0,86.25,3.887136
307,261180.0,86.25,3.887136
308,261170.0,83.0,3.887136
309,261160.0,83.0,3.887136
310,261150.0,83.0,3.887136
311,261140.0,83.0,3.887136
312,261130.0,83.0,3.887136
313,261120.0,83.0,3.887136
314,261110.0,84.54297,3.887136
315,261100.0,84.54297,3.887136
316,261090.0,84.54297,3.887136
317,261080.0,84.54297,3.887136
318,261070.0,84.54297,3.887136
319,261060.0,84.53516,3.887136
320,261050.0,81.95703,3.887136
321,261040.0,81.95703,3.887136
322,261030.0,81.95703,3.887136
323,261020.0,81.95703,3.887136
324,261010.0,81.95703,3.887136
325,261000.0,81.96484,3.887136
326,260990.0,84.16797,3.887136
327,260980.0,84.16797,3.887136
328,260970.0,84.16797,3.887136
329,260960.0,84.16797,3.887136
330,260950.0,84.16797,3.887136
331,260940.0,84.16016,3.887136
332,260930.0,83.66797,3.887136
333,260920.0,83.66797,3.887136
334,260910.0,83.66797,3.887136
335,260900.0,83.66797,3.887136
336,260890.0,83.66797,3.887136
337,260880.0,83.66016,3.887136
338,260870.0,84.66797,3.887136
339,260860.0,84.66797,3.887136
340,260850.0,84.66797,3.887136
341,260840.0,84.66797,3.887136
342,260830.0,84.66797,3.887136
343,260820.0,84.66016,3.887136
344,260810.0,83.08203,3.887136
345,260800.0,83.08203,3.887136
346,260790.0,83.08203,3.887136
347,260780.0,83.08203,3.887136
348,260770.0,83.08203,3.887136
349,260760.0,83.08984,3.887136
350,260750.0,85.33203,3.887136
351,260740.0,85.33203,3.887136
352,260730.0,85.33203,3.887136
353,260720.0,85.33203,3.887136
354,260710.0,85.33203,3.887136
355,260700.0,85.33984,3.887136
356,260690.0,83.58203,3.887136
357,260680.0,83.58203,3.887136
358,260670.0,83.58203,3.887136
359,260660.0,83.58203,3.887136
360,260650.0,83.58203,3.887136
361,260640.0,83.58984,3.887136
362,260630.0,85.0,3.887136
363,260620.0,85.0,3.887136
364,260610.0,85.0,3.887136
365,260600.0,85.0,3.887136
366,260590.0,85.0,3.887136
367,260580.0,85.0,3.887136
368,260570.0,82.5,3.887136
369,260560.0,82.5,3.887136
370,260550.0,82.5,3.887136
371,260540.0,82.5,3.887136
372,260530.0,82.5,3.887136
373,260520.0,82.5,3.887136
374,260510.0,82.08203,3.887136
375,260500.0,82.08203,3.887136
376,260490.0,82.08203,3.887136
377,260480.0,82.08203,3.887136
378,260470.0,82.08203,3.887136
379,260460.0,82.08984,3.887136
380,260450.0,80.41797,3.887136
381,260440.0,80.41797,3.887136
382,260430.0,80.41797,3.887136
383,260420.0,80.41797,3.887136
384,260410.0,80.41797,3.887136
385,260400.0,80.41016,3.887136
386,260390.0,83.375,3.887136
387,260380.0,83.375,3.887136
388,260370.0,83.375,3.887136
389,260360.0,83.375,3.887136
390,260350.0,83.375,3.887136
391,260340.0,83.375,3.887136
392,260330.0,81.375,3.887136
393,260320.0,81.375,3.887136
394,260310.0,81.375,3.887136
395,260300.0,81.375,3.887136
396,260290.0,81.375,3.887136
397,260280.0,81.375,3.887136
398,260270.0,85.45703,3.887136
399,260260.0,85.45703,3.887136
400,260250.0,85.45703,3.887136
401,260240.0,85.45703,3.887136
402,260230.0,85.45703,3.887136
403,260220.0,85.46484,3.887136
404,260210.0,83.79297,3.887136
405,260200.0,83.79297,3.887136
406,260190.0,83.79297,3.887136
407,260180.0,83.79297,3.887136
408,260170.0,83.79297,3.887136
409,260160.0,83.78516,3.887136
410,260150.0,84.0,3.887136
411,260140.0,84.0,3.887136
412,260130.0,84.0,3.887136
413,260120.0,84.0,3.887136
414,260110.0,84.0,3.887136
415,260100.0,84.0,3.887136
416,260090.0,83.25,3.887136
417,260080.0,83.25,3.887136
418,260070.0,83.25,3.887136
419,260060.0,83.25,3.887136
420,260050.0,83.25,3.887136
421,260040.0,83.25,3.887136
422,260030.0,83.20703,3.887136
423,260020.0,83.20703,3.887136
424,260010.0,83.20703,3.887136
425,260000.0,83.20703,3.887136
426,259990.0,83.20703,4.8640723
427,259980.0,83.21484,8.002829
428,259970.0,84.29297,8.011314
429,259960.0,84.29297,8.028286
430,259950.0,84.29297,8.053744
431,259940.0,84.29297,8.083445
432,259930.0,84.29297,8.117389
433,259920.0,84.28516,8.155577
434,259910.0,87.125,8.183155
435,259900.0,87.125,8.193762
436,259890.0,87.125,8.209673
437,259880.0,87.125,8.219221
438,259870.0,87.125,8.225585
439,259860.0,87.125,8.240436
440,259850.0,81.625,8.246799
441,259840.0,81.625,8.246799
442,259830.0,81.625,8.253164
443,259820.0,81.625,8.248921
444,259810.0,81.625,8.257407
445,259800.0,81.625,8.257407
446,259790.0,83.66797,8.257407
447,259780.0,83.66797,8.261651
448,259770.0,83.66797,8.265893
449,259760.0,83.66797,8.257407
450,259750.0,83.66797,8.257407
451,259740.0,83.66016,8.257407
452,259730.0,83.45703,8.261651
453,259720.0,83.45703,8.257407
454,259710.0,83.45703,8.257407
455,259700.0,83.45703,8.257407
456,259690.0,83.45703,8.261651
457,259680.0,83.46484,8.261651
458,259670.0,84.70703,8.260943
459,259660.0,84.70703,8.257407
460,259650.0,84.70703,8.260943
461,259640.0,84.70703,8.261651
462,259630.0,84.70703,8.257407
463,259620.0,84.71484,8.260943
464,259610.0,82.58203,8.257407
465,259600.0,82.58203,8.260943
466,259590.0,82.58203,8.260943
467,259580.0,82.58203,8.264479
468,259570.0,82.58203,8.27155
469,259560.0,82.58984,8.289229
470,259550.0,83.08203,8.371967
471,259540.0,83.08203,8.452584
472,259530.0,83.08203,8.452584
473,259520.0,83.08203,8.46107
474,259510.0,83.08203,8.46107
475,259500.0,83.08984,8.456827
476,259490.0,84.75,8.46107
477,259480.0,84.75,8.47486
478,259470.0,84.75,8.47486
479,259460.0,84.75,8.490771
480,259450.0,84.75,8.501379
481,259440.0,84.75,8.511986
482,259430.0,84.08203,8.497843
483,259420.0,84.08203,8.490771
484,259410.0,84.08203,8.462484
485,259400.0,84.08203,8.448341
486,259390.0,84.08203,8.441269
487,259380.0,84.08984,8.434198
488,259370.0,84.0,8.427127
489,259360.0,84.0,8.427127
490,259350.0,84.0,8.420054
491,259340.0,84.0,8.412983
492,259330.0,84.0,8.405911
493,259320.0,84.0,8.405911
494,259310.0,83.45703,8.39884
495,259300.0,83.45703,8.412983
496,259290.0,83.45703,8.405911
497,259280.0,83.45703,8.395305
498,259270.0,83.45703,8.391768
499,259260.0,83.46484,8.391768
500,259250.0,81.375,8.395305
501,259240.0,81.375,8.384697
502,259230.0,81.375,8.405911
503,259220.0,81.375,8.405911
504,259210.0,81.375,8.416519
505,259200.0,81.375,8.469557
506,259190.0,82.83203,8.511986
507,259180.0,82.83203,8.490771
508,259170.0,82.83203,8.469557
509,259160.0,82.83203,8.437735
510,259150.0,82.83203,8.405911
511,259140.0,82.83984,8.405911
512,259130.0,82.91797,8.395305
513,259120.0,82.91797,8.427127
514,259110.0,82.91797,8.458949
515,259100.0,82.91797,8.448341
516,259090.0,82.91797,8.469557
517,259080.0,82.91016,8.480164
518,259070.0,83.91797,8.490771
519,259060.0,83.91797,8.511986
520,259050.0,83.91797,8.533201
521,259040.0,83.91797,8.554416
522,259030.0,83.91797,8.565023
523,259020.0,83.91016,8.575631
524,259010.0,83.58203,8.575631
525,259000.0,83.58203,8.533201
526,258990.0,83.58203,8.490771
527,258980.0,83.58203,8.448341
528,258970.0,83.58203,8.427127
529,258960.0,83.58984,8.427127
530,258950.0,83.41797,8.416519
531,258940.0,83.41797,8.437735
532,258930.0,83.41797,8.469557
533,258920.0,83.41797,8.501379
534,258910.0,83.41797,8.490771
535,258900.0,83.41016,8.437735
536,258890.0,83.41797,8.405911
537,258880.0,83.41797,8.384697
538,258870.0,83.41797,8.416519
539,258860.0,83.41797,8.427127
540,258850.0,83.41797,8.448341
541,258840.0,83.41016,8.448341
542,258830.0,83.33203,8.469557
543,258820.0,83.33203,8.511986
544,258810.0,83.33203,8.533201
545,258800.0,83.33203,8.511986
546,258790.0,83.33203,8.511986
547,258780.0,83.33984,8.490771
548,258770.0,82.83203,8.490771
549,258760.0,82.83203,8.490771
550,258750.0,82.83203,8.490771
551,258740.0,82.83203,8.490771
552,258730.0,82.83203,8.469557
553,258720.0,82.83984,8.448341
554,258710.0,84.66797,8.427127
555,258700.0,84.66797,8.405911
556,258690.0,84.66797,8.427127
557,258680.0,84.66797,8.427127
558,258670.0,84.66797,8.427127
559,258660.0,84.66016,8.405911
560,258650.0,83.75,8.416519
561,258640.0,83.75,8.405911
562,258630.0,83.75,8.405911
563,258620.0,83.75,8.416519
564,258610.0,83.75,8.427127
565,258600.0,83.75,8.405911
566,258590.0,82.375,8.384697
567,258580.0,82.375,8.395305
568,258570.0,82.375,8.363482
569,258560.0,82.375,8.374089
570,258550.0,82.375,8.363482
571,258540.0,82.375,8.395305
572,258530.0,84.45703,8.395305
573,258520.0,84.45703,8.427127
574,258510.0,84.45703,8.448341
575,258500.0,84.45703,8.448341
576,258490.0,84.45703,8.490771
577,258480.0,84.46484,8.511986
578,258470.0,84.0,8.543809
579,258460.0,84.0,8.554416
580,258450.0,84.0,8.565023
581,258440.0,84.0,8.554416
582,258430.0,84.0,8.554416
583,258420.0,84.0,8.565023
584,258410.0,82.83203,8.575631
585,258400.0,82.83203,8.575631
586,258390.0,82.83203,8.575631
587,258380.0,82.83203,8.575631
588,258370.0,82.83203,8.596846
589,258360.0,82.83984,8.596846
590,258350.0,83.25,8.596846
591,258340.0,83.25,8.596846
592,258330.0,83.25,8.575631
593,258320.0,83.25,8.575631
594,258310.0,83.25,8.575631
595,258300.0,83.25,8.575631
596,258290.0,83.66797,8.575631
597,258280.0,83.66797,8.586238
598,258270.0,83.66797,8.575631
599,258260.0,83.66797,8.575631
600,258250.0,83.66797,8.575631
601,258240.0,83.66016,8.586238
602,258230.0,83.5,8.596846
603,258220.0,83.5,8.575631
604,258210.0,83.5,8.575631
605,258200.0,83.5,8.565023
606,258190.0,83.5,8.533201
607,258180.0,83.5,8.533201
608,258170.0,83.41797,8.533201
609,258160.0,83.41797,8.490771
610,258150.0,83.41797,8.480164
611,258140.0,83.41797,8.469557
612,258130.0,83.41797,8.469557
613,258120.0,83.41016,8.469557
614,258110.0,82.25,8.427127
615,258100.0,82.25,8.448341
616,258090.0,82.25,8.448341
617,258080.0,82.25,8.448341
618,258070.0,82.25,8.437735
619,258060.0,82.25,8.448341
620,258050.0,82.41797,8.448341
621,258040.0,82.41797,8.448341
622,258030.0,82.41797,8.448341
623,258020.0,82.41797,8.448341
624,258010.0,82.41797,8.458949
625,258000.0,82.41016,8.448341
626,257990.0,82.20703,8.448341
627,257980.0,82.20703,8.448341
628,257970.0,82.20703,8.469557
629,257960.0,82.20703,8.458949
630,257950.0,82.20703,8.448341
631,257940.0,82.21484,8.469557
632,257930.0,82.20703,8.469557
633,257920.0,82.20703,8.458949
634,257910.0,82.20703,8.469557
635,257900.0,82.20703,8.448341
636,257890.0,82.20703,8.458949
637,257880.0,82.21484,8.469557
638,257870.0,83.41797,8.533201
639,257860.0,83.41797,8.533201
640,257850.0,83.41797,8.533201
641,257840.0,83.41797,8.490771
642,257830.0,83.41797,8.490771
643,257820.0,83.41016,8.490771
644,257810.0,84.08203,8.490771
645,257800.0,84.08203,8.490771
646,257790.0,84.08203,8.490771
647,257780.0,84.08203,8.490771
648,257770.0,84.08203,8.490771
649,257760.0,84.08984,8.490771
650,257750.0,82.33594,8.490771
651,257740.0,82.33594,8.490771
652,257730.0,82.33594,8.501379
653,257720.0,82.33594,8.511986
654,257710.0,82.33594,8.490771
655,257700.0,82.32031,8.511986
656,257690.0,81.58594,8.501379
657,257680.0,81.58594,8.511986
658,257670.0,81.58594,8.533201
659,257660.0,81.58594,8.575631
660,257650.0,81.58594,8.575631
661,257640.0,81.57031,8.554416
662,257630.0,85.25,8.543809
663,257620.0,85.25,8.533201
664,257610.0,85.25,8.511986
665,257600.0,85.25,8.511986
666,257590.0,85.25,8.533201
667,257580.0,85.25,8.533201
668,257570.0,84.0,8.533201
669,257560.0,84.0,8.575631
670,257550.0,84.0,8.575631
671,257540.0,84.0,8.565023
672,257530.0,84.0,8.575631
673,257520.0,84.0,8.511986
674,257510.0,83.41406,8.490771
675,257500.0,83.41406,8.490771
676,257490.0,83.41406,8.480164
677,257480.0,83.41406,8.469557
678,257470.0,83.41406,8.480164
679,257460.0,83.42969,8.469557
680,257450.0,81.5,8.469557
681,257440.0,81.5,8.490771
682,257430.0,81.5,8.469557
683,257420.0,81.5,8.469557
684,257410.0,81.5,8.469557
685,257400.0,81.5,8.490771
686,257390.0,83.08594,8.511986
687,257380.0,83.08594,8.533201
688,257370.0,83.08594,8.575631
689,257360.0,83.08594,8.586238
690,257350.0,83.08594,8.575631
691,257340.0,83.07031,8.575631
692,257330.0,82.83594,8.575631
693,257320.0,82.83594,8.596846
694,257310.0,82.83594,8.575631
695,257300.0,82.83594,8.596846
696,257290.0,82.83594,8.607453
697,257280.0,82.82031,8.61806
698,257270.0,82.83594,8.61806
699,257260.0,82.83594,8.607453
700,257250.0,82.83594,8.61806
701,257240.0,82.83594,8.61806
702,257230.0,82.83594,8.61806
703,257220.0,82.82031,8.649883
704,257210.0,84.66406,8.66049
705,257200.0,84.66406,8.74535
706,257190.0,84.66406,8.74535
707,257180.0,84.66406,8.66049
708,257170.0,84.66406,8.66049
709,257160.0,84.67969,8.66049
710,257150.0,83.08594,8.639276
711,257140.0,83.08594,8.61806
712,257130.0,83.08594,8.596846
713,257120.0,83.08594,8.596846
714,257110.0,83.08594,8.596846
715,257100.0,83.07031,8.596846
716,257090.0,82.46094,8.596846
717,257080.0,82.46094,8.61806
718,257070.0,82.46094,8.596846
719,257060.0,82.46094,8.586238
720,257050.0,82.46094,8.596846
721,257040.0,82.44531,8.61806
722,257030.0,81.03906,8.61806
723,257020.0,81.03906,8.61806
724,257010.0,81.03906,8.639276
725,257000.0,81.03906,8.66049
726,256990.0,81.03906,8.66049
727,256980.0,81.05469,8.671098
728,256970.0,82.0,8.639276
729,256960.0,82.0,8.66049
730,256950.0,82.0,8.66049
731,256940.0,82.0,8.649883
732,256930.0,82.0,8.639276
733,256920.0,82.0,8.61806
734,256910.0,83.66406,8.575631
735,256900.0,83.66406,8.575631
736,256890.0,83.66406,8.575631
737,256880.0,83.66406,8.575631
738,256870.0,83.66406,8.575631
739,256860.0,83.67969,8.554416
740,256850.0,82.03906,8.565023
