FRAMENO,TDEP,DSOZ,HDRA,PEFZ,RHOZ,RXOZ,TIME,RSOZ
12622,30.0228,0.4047897,0.16579676,9.245772,2.145945,0.05728973,274.5,0.2494916
12619,30.1752,0.40840605,0.16735101,9.228267,2.139404,0.057304878,267.5,0.24617851
12616,30.3276,0.41091597,0.17166722,9.228491,2.1437616,0.057281166,273.5,0.24860881
12613,30.48,0.41336226,0.17539346,9.247826,2.1434503,0.057273485,266.0,0.2493261
12610,30.6324,0.42253172,0.1807499,9.253018,2.144878,0.057516597,269.5,0.26100892
12607,30.7848,0.4337521,0.18258715,9.231751,2.1432574,0.057780437,274.0,0.25347313
12604,30.9372,0.44401237,0.18146765,9.208172,2.1413271,0.05789987,272.5,0.25113758
12601,31.0896,0.44998714,0.17636561,9.197656,2.1397262,0.05754966,274.5,0.24387912
12598,31.241999,0.4517678,0.17459142,9.228923,2.141368,0.057268437,277.5,0.24347903
12595,31.3944,0.4507769,0.17749155,9.294383,2.1479847,0.059060927,268.0,0.22546089
12592,31.546799,0.44826233,0.1844083,9.377095,2.156547,0.05930381,272.5,0.2306239
12589,31.6992,0.44436443,0.18786061,9.465524,2.1579833,0.060250863,273.5,0.2400348
12586,31.851599,0.44137758,0.18862402,9.517822,2.1571553,0.058875397,274.0,0.23471265
12583,32.003998,0.44160527,0.18993318,9.54767,2.157689,0.05843118,268.0,0.24958795
12580,32.1564,0.4441387,0.1919862,9.549465,2.1649444,0.05771828,274.0,0.24744205
12577,32.3088,0.44653866,0.1911807,9.54591,2.1668515,0.057569686,275.5,0.25327358
12574,32.4612,0.45007527,0.1883055,9.559069,2.164428,0.057150614,268.5,0.24863924
12571,32.613598,0.45095056,0.1837585,9.565778,2.1553364,0.057243217,271.0,0.24488357
12568,32.766,0.45396504,0.1845113,9.597157,2.153083,0.05755208,275.5,0.25486463
12565,32.9184,0.45409143,0.18558085,9.626205,2.154671,0.05735139,273.0,0.24553496
12562,33.0708,0.45535168,0.19026184,9.681705,2.163577,0.056765664,263.5,0.24960476
12559,33.223198,0.45030773,0.19144607,9.7466135,2.1667552,0.05674978,274.5,0.2517307
12556,33.3756,0.44429234,0.19344437,9.800675,2.1705856,0.056451496,269.0,0.25594607
12553,33.528,0.43346342,0.19200933,9.8345995,2.1682866,0.056741815,264.5,0.25532353
12550,33.6804,0.42333925,0.19016993,9.842658,2.166459,0.056101657,271.0,0.24208619
12547,33.832798,0.41801164,0.18794096,9.853921,2.16414,0.056716174,273.5,0.24262238
12544,33.9852,0.4191068,0.18307936,9.843587,2.1611185,0.057123482,271.5,0.2330149
12541,34.1376,0.4225519,0.1759491,9.812596,2.154535,0.057439033,270.5,0.25360984
12538,34.29,0.42176157,0.16931236,9.782946,2.1428356,0.059496913,275.0,0.23255855
12535,34.442398,0.42343727,0.17103183,9.810466,2.1379464,0.059305504,270.5,0.23004968
