FRAMENO,TDEP,AHTCO90,AHF30,TIME,AHF90
165,25932.0,882.9805,1.1913224,252.0,1.1766237
166,25929.0,984.0305,1.1419165,250.375,1.1325103
167,25926.0,989.49005,1.0939188,250.375,1.087434
168,25923.0,1037.4807,1.0766168,244.125,1.0628806
169,25920.0,1108.347,1.0458938,244.125,1.0376396
170,25917.0,1177.3702,1.0181899,248.5,1.0106286
171,25914.0,1163.309,0.9984411,248.5,0.9904569
172,25911.0,1110.2097,0.98610866,248.75,0.9857707
173,25908.0,1038.2941,0.98385733,248.75,0.9856571
174,25905.0,1016.6889,0.98730034,251.75,0.9866441
175,25902.0,961.64374,0.9839178,251.75,0.9798015
176,25899.0,932.7364,0.9812501,250.75,0.9732006
177,25896.0,936.98724,0.97625315,250.75,0.9650928
178,25893.0,982.659,0.96934634,250.25,0.9574788
179,25890.0,1062.2992,0.96306664,250.25,0.94982594
180,25887.0,1142.699,0.95228827,250.25,0.9378539
181,25884.0,1186.0944,0.9415872,250.25,0.9242558
182,25881.0,1179.2905,0.93598104,250.0,0.91924524
183,25878.0,1143.6249,0.93638355,250.0,0.91837186
184,25875.0,1108.9348,0.9396499,248.5,0.9202769
185,25872.0,1078.2509,0.9451204,248.5,0.9244833
186,25869.0,1043.4219,0.9520034,254.0,0.9303902
187,25866.0,1033.5094,0.95993257,254.0,0.93776006
188,25863.0,1036.8591,0.96887636,251.25,0.9465909
189,25860.0,1042.9358,0.9787583,251.25,0.95678324
190,25857.0,1046.0286,0.9892617,247.125,0.9679063
191,25854.0,1041.2137,1.000262,247.125,0.98043925
192,25851.0,1022.9451,1.0155237,253.375,0.9958767
193,25848.0,999.1845,1.0267869,253.375,1.0081383
194,25845.0,970.9216,1.0396743,252.0,1.0219538
195,25842.0,938.6147,1.0528435,252.0,1.0360805
196,25839.0,904.70807,1.0645056,248.5,1.0488226
197,25836.0,882.53033,1.0731034,248.5,1.0585428
198,25833.0,872.7775,1.0775734,249.75,1.0641286
199,25830.0,872.35626,1.0770012,249.75,1.0645719
200,25827.0,895.6301,1.0701474,251.0,1.0583847
201,25824.0,932.4774,1.0527568,251.0,1.0434915
202,25821.0,966.14044,1.0331066,250.5,1.0251248
203,25818.0,986.09784,1.0219111,250.5,1.0107036
204,25815.0,1020.9913,1.0067806,250.25,0.99394727
205,25812.0,1058.353,0.994117,250.25,0.98005533
206,25809.0,1072.9878,0.98597336,246.75,0.9707393
207,25806.0,1085.9432,0.9834544,246.75,0.9668794
208,25803.0,1098.4203,0.9875639,247.25,0.96934783
209,25800.0,1085.4801,0.9985648,247.25,0.9783028
210,25797.0,1048.0741,1.0157102,246.625,0.99356234
211,25794.0,976.4151,1.040074,246.625,1.012736
212,25791.0,938.2783,1.0606242,246.625,1.030807
213,25788.0,881.2869,1.0825611,246.625,1.0486404
214,25785.0,855.1764,1.1000509,250.25,1.0617346
215,25782.0,841.5084,1.1098771,250.25,1.0673745
216,25779.0,841.5803,1.1103721,252.25,1.0643569
217,25776.0,857.3237,1.1018584,252.25,1.0533108
218,25773.0,923.28375,1.0856797,247.0,1.03569
219,25770.0,979.70776,1.0629829,247.0,1.0126765
220,25767.0,1048.3848,1.0355726,244.75,0.9859653
221,25764.0,1104.3533,1.0056114,244.75,0.9574759
222,25761.0,1125.8615,0.97127944,255.75,0.9209159
223,25758.0,1138.586,0.9411607,255.75,0.8951709
224,25755.0,1150.6475,0.9142697,252.0,0.86986744
225,25752.0,1174.8263,0.88880897,252.0,0.84572583
226,25749.0,1248.082,0.86706215,250.25,0.8247428
227,25746.0,1316.2892,0.8499785,250.25,0.80820304
228,25743.0,1388.9312,0.8383373,244.5,0.79714733
229,25740.0,1426.23,0.83266187,244.5,0.7920771
230,25737.0,1409.8326,0.83311754,249.25,0.79299283
231,25734.0,1354.4312,0.8395033,249.25,0.799551
232,25731.0,1285.5012,0.8510015,248.5,0.8109982
233,25728.0,1202.4904,0.8711947,248.5,0.8261865
234,25725.0,1159.0161,0.89519775,248.5,0.8450986
235,25722.0,1108.49,0.90803397,248.5,0.8636359
236,25719.0,1068.4702,0.927145,254.0,0.8820984
237,25716.0,1043.6338,0.9451425,254.0,0.89984834
238,25713.0,1051.6769,0.96038944,249.25,0.9153005
239,25710.0,1062.9747,0.97209036,249.25,0.92792517
240,25707.0,1074.0483,0.98009795,247.375,0.93772596
241,25704.0,1075.8301,0.98492175,247.375,0.9452302
242,25701.0,1065.6948,0.9832884,243.125,0.94581383
243,25698.0,1057.8438,0.9774706,243.125,0.94292104
244,25695.0,1047.1771,0.97014403,246.0,0.9392677
245,25692.0,1048.275,0.96890974,246.0,0.9395559
246,25689.0,1069.057,0.96546173,251.0,0.9376198
247,25686.0,1089.101,0.96119964,251.0,0.93372387
248,25683.0,1114.8558,0.9590781,246.125,0.9322913
249,25680.0,1129.0559,0.9603732,246.125,0.93495744
250,25677.0,1119.5731,0.9659883,239.875,0.94087005
251,25674.0,1099.0305,0.97644085,239.875,0.9506943
252,25671.0,1063.911,0.99156237,250.5,0.96670157
253,25668.0,1027.0621,1.0120249,250.5,0.9875646
254,25665.0,995.0697,1.041834,260.375,1.0132847
255,25662.0,966.4776,1.0774208,260.375,1.0434381
256,25659.0,925.8207,1.1177922,248.875,1.0793488
257,25656.0,899.843,1.1556292,248.875,1.1217123
258,25653.0,871.0495,1.1879025,244.5,1.1576961
259,25650.0,822.5236,1.2302804,244.5,1.2009121
260,25647.0,783.3547,1.2758142,244.0,1.2471131
261,25644.0,741.7387,1.3225929,244.0,1.2940217
262,25641.0,694.9,1.3692241,248.5,1.340122
263,25638.0,654.37396,1.4006383,248.5,1.3815233
