TDEP,GR,RESD,BS,CAL,DCAL,NPHI,PE,DRHO,RHOB,DTC
15120.0,24.510271,,8.5,,,0.6464839,,,,
15180.0,26.542648,,8.5,,,0.73356766,,,,
15240.0,26.177973,,8.5,,,0.72493154,,,,
15300.0,23.164154,,8.5,,,0.6884475,,,,
15360.0,23.838669,,8.5,,,0.619939,,,,
15420.0,24.76577,,8.5,,,0.65395147,,,,
15480.0,25.903189,,8.5,,,0.66419846,,,,
15540.0,24.672876,,8.5,,,0.71452695,,,,
15600.0,25.970818,,8.5,,,0.686084,,,,
15660.0,25.34535,,8.5,,,0.6980215,,,,
15720.0,25.901146,,8.5,,,0.63213044,,,,
15780.0,21.632324,,8.5,,,0.6045622,,,,
15840.0,22.057112,,8.5,,,0.55571693,,,,
15900.0,21.130783,,8.5,,,0.516125,,,,
15960.0,24.25968,,8.5,,,0.47684938,,,,
16020.0,22.211348,,8.5,,,0.4855447,,,,
16080.0,22.0324,,8.5,,,0.52371323,,,,
16140.0,18.905064,,8.5,,,0.6338982,,,,
16200.0,19.831392,,8.5,,,0.6855849,,,,
16260.0,20.573072,,8.5,,,0.71825534,,,,
16320.0,23.074942,,8.5,,,0.7027811,,,,
16380.0,23.074942,,8.5,,,0.71485776,,,,
16440.0,20.849901,,8.5,,,0.6762136,,,,
16500.0,20.432922,,8.5,,,0.6832313,,,,
16560.0,22.285582,,8.5,,,0.6285733,,,,
16620.0,23.39209,,8.5,,,0.6310496,,,,
16680.0,26.519424,,8.5,,,0.5701484,,,,
16740.0,23.931097,,8.5,,,0.6082442,,,,
16800.0,22.448969,,8.5,,,0.63566995,,,,
16860.0,20.36408,,8.5,,,0.6576749,,,,
16920.0,19.251558,,8.5,,,0.6185726,,,,
16980.0,21.84788,,8.5,,,0.59323096,,,,
17040.0,22.424301,,8.5,,,0.57953906,,,,
17100.0,24.64934,,8.5,,,0.62082,,,,
17160.0,23.398407,,8.5,,,0.6302241,,,,
17220.0,20.804686,,8.5,,,0.67362326,,,,
17280.0,22.83629,,8.5,,,0.7041037,,,,
17340.0,26.380606,,8.5,,,0.6711961,,,,
17400.0,26.75653,,8.5,,,0.65665853,,,,
17460.0,26.015467,,8.5,,,0.65327644,,,,
17520.0,24.139063,,8.5,,,0.7086192,,,,
17580.0,26.920364,,8.5,,,0.68990654,,,,
17640.0,26.920364,,8.5,,,0.6727884,,,,
17700.0,25.209784,,8.5,,,0.7204043,,,,
17760.0,24.278345,,8.5,,,0.73919374,,,,
17820.0,22.055155,,8.5,,,0.7405199,,,,
17880.0,22.93178,,8.5,,,0.661243,,,,
17940.0,22.750696,,8.5,,,0.68071616,,,,
18000.0,24.603355,,8.5,,,0.65443593,,,,
18060.0,23.7694,,8.5,,,0.74038076,,,,
18120.0,22.651022,,8.5,,,0.7831684,,,,
18180.0,23.71929,,8.5,,,0.82580125,,,,
18240.0,24.789139,,8.5,,,0.7635727,,,,
18300.0,25.344934,,8.5,,,0.6396178,,,,
18360.0,25.761915,,8.5,,,0.53522563,,,,
18420.0,23.907715,,8.5,,,0.48084548,,,,
18480.0,24.648779,,8.5,,,0.48298606,,,,
18540.0,21.52144,,8.5,,,0.5769706,,,,
18600.0,23.190222,,8.5,,,0.6131413,,,,
18660.0,23.560753,,8.5,,,0.6772547,,,,
18720.0,23.352264,,8.5,,,0.6583852,,,,
18780.0,23.345634,,8.5,,,0.66459054,,,,
18840.0,24.094559,,8.5,,,0.6877049,,,,
18900.0,23.88607,,8.5,,,0.68970376,,,,
18960.0,23.145006,,8.5,,,0.7446799,,,,
19020.0,21.290808,,8.5,,,0.72319114,,,,
19080.0,24.001165,,8.5,,,0.7759615,,,,
19140.0,24.18643,,8.5,,,0.7520381,,,,
19200.0,25.85521,,8.5,,,0.77593297,,,,
19260.0,24.395784,,8.5,,,0.7689756,,,,
19320.0,24.395784,,8.5,,,0.78152096,,,,
19380.0,24.298304,,8.5,,,0.83887064,,,,
19440.0,25.298948,,8.5,,,0.77837443,,,,
19500.0,27.522139,,8.5,,,0.6921499,,,,
19560.0,25.645737,,8.5,,,0.61239165,,,,
19620.0,24.712164,,8.5,,,0.62539107,,,,
19680.0,21.38262,,8.5,,,0.6448198,,,,
19740.0,23.25902,,8.5,,,0.5842888,,,,
19800.0,22.888489,,8.5,,,0.5796816,,,,
19860.0,25.48437,,8.5,,,0.581487,,,,
19920.0,25.067392,,8.5,,,0.6098335,,,,
19980.0,27.475851,,8.5,,,0.6403789,,,,
20040.0,28.03211,,8.5,,,0.6429546,,,,
20100.0,28.44909,,8.5,,,0.6441359,,,,
20160.0,27.337494,,8.5,,,0.6332613,,,,
20220.0,25.106443,,8.5,,,0.64352655,,,,
20280.0,22.396086,,8.5,,,0.626583,,,,
20340.0,22.77417,,8.5,,,0.5916071,,,,
20400.0,25.553156,,8.5,,,0.6067125,,,,
20460.0,27.22107,,8.5,,,0.6638968,,,,
20520.0,26.479387,,8.5,,,0.68677264,,,,
20580.0,26.108856,,8.5,,,0.67156243,,,,
20640.0,24.023966,,8.5,,,0.62832844,,,,
20700.0,23.467707,,8.5,,,0.65555996,,,,
20760.0,22.173447,,8.5,,,0.6364024,,,,
20820.0,22.426302,,8.5,,,0.6712773,,,,
20880.0,23.724243,,8.5,,,0.6302464,,,,
20940.0,22.05633,,8.5,,,0.66366655,,,,
21000.0,21.685799,,8.5,,,0.63705194,,,,
21060.0,18.713991,,8.5,,,0.6516832,,,,
21120.0,21.007372,,8.5,,,0.67144084,,,,
21180.0,23.422766,,8.5,,,0.71462303,,,,
21240.0,24.719627,,8.5,,,0.71244997,,,,
21300.0,20.946356,,8.5,,,0.7990982,,,,
21360.0,21.150509,,8.5,,,0.8178187,,,,
21420.0,21.335775,,8.5,,,0.9036126,,,,
21480.0,26.35998,,8.5,,,0.75147074,,,,
21540.0,28.937128,,8.5,,,0.6971378,,,,
21600.0,28.196066,,8.5,,,0.6809607,,,,
21660.0,25.946531,,8.5,,,0.7098149,,,,
21720.0,23.160894,,8.5,,,0.7320851,,,,
21780.0,24.835375,,8.5,,,0.7587307,,,,
21840.0,26.132238,,8.5,,,0.7496134,,,,
