TDEP,HDRA,PEFZ,RHOZ
716.6356,0.22840261,4.8350735,2.1848612
716.5848,0.22840261,4.8350735,2.1848612
716.534,0.22869253,4.8386817,2.185151
716.4832,0.22840238,4.8350735,2.184861
716.4324,0.22869253,4.8386803,2.185151
716.3816,0.22840261,4.8350725,2.184861
716.3308,0.22840238,4.8350725,2.184861
716.27997,0.22840238,4.8350735,2.184861
716.2292,0.22869253,4.8386807,2.185151
716.1784,0.22840238,4.8350735,2.184861
716.12756,0.22840238,4.8350735,2.184861
716.0768,0.22840238,4.8350735,2.184861
716.026,0.2286923,4.838682,2.185151
715.9752,0.22840238,4.8350735,2.184861
715.9244,0.2286923,4.8386803,2.185151
715.8736,0.22840261,4.8350725,2.1848612
715.8228,0.22840261,4.835073,2.1848612
715.772,0.22840261,4.8350735,2.1848612
715.7212,0.22869277,4.8386807,2.1851513
715.6704,0.22840261,4.8350735,2.1848612
715.61957,0.22840261,4.8350735,2.1848612
715.5688,0.22840238,4.8350735,2.184861
715.518,0.2286923,4.838682,2.185151
715.46716,0.22840261,4.8350735,2.1848612
715.4164,0.2286923,4.8386803,2.185151
715.3656,0.22840261,4.835073,2.1848612
715.3148,0.22840261,4.835073,2.1848612
715.264,0.22840238,4.8350735,2.1848612
715.2132,0.22869253,4.8386807,2.1851513
715.1624,0.22840261,4.8350735,2.1848612
715.1116,0.22840261,4.8350735,2.1848612
715.0608,0.22840238,4.8350744,2.1848612
715.01,0.2286923,4.838682,2.185151
714.95917,0.22840238,4.8350735,2.184861
714.9084,0.2286923,4.8386807,2.185151
714.8576,0.22840261,4.835073,2.1848612
714.80676,0.22840261,4.835073,2.1848612
714.756,0.22840261,4.8350735,2.1848612
714.7052,0.22869253,4.8386807,2.1851513
714.6544,0.22840261,4.8350735,2.1848612
714.6036,0.22840261,4.8350735,2.1848612
714.5528,0.22840261,4.8350735,2.1848612
714.502,0.22869277,4.838682,2.1851513
714.4512,0.22840285,4.8350735,2.1848612
714.4004,0.22869277,4.8386807,2.1851513
714.3496,0.22840285,4.835073,2.1848614
714.29877,0.22840285,4.835073,2.1848614
714.248,0.22840285,4.8350735,2.1848614
714.1972,0.22869253,4.838681,2.1851513
714.14636,0.22840285,4.8350735,2.1848614
714.0956,0.22840285,4.835074,2.1848614
714.0448,0.22840238,4.835074,2.184861
713.994,0.22869277,4.838682,2.1851513
713.9432,0.22840285,4.8350735,2.1848612
713.8924,0.22869277,4.8386803,2.1851513
713.8416,0.22840261,4.8350725,2.1848612
713.7908,0.22840238,4.835073,2.1848612
713.74,0.22840238,4.8350735,2.1848612
713.6892,0.22869253,4.8386817,2.1851513
713.63837,0.22840261,4.8350735,2.1848612
713.5876,0.22840261,4.8350744,2.1848612
713.5368,0.22840214,4.8350744,2.184861
713.48596,0.2286923,4.838682,2.185151
713.4352,0.22840214,4.835074,2.184861
713.3844,0.2286923,4.8386807,2.185151
713.3336,0.22840238,4.835073,2.184861
713.2828,0.22840238,4.835073,2.184861
713.232,0.22840238,4.8350735,2.184861
713.1812,0.2286923,4.8386807,2.185151
713.1304,0.22840238,4.8350735,2.184861
713.0796,0.22840238,4.835074,2.184861
713.0288,0.22840238,4.835074,2.184861
712.97797,0.2286923,4.838682,2.1851509
712.9272,0.22840214,4.8350735,2.1848607
712.8764,0.22869205,4.8386803,2.1851509
712.82556,0.22840238,4.8350725,2.184861
712.7748,0.22840214,4.835073,2.184861
712.724,0.22840214,4.8350735,2.184861
712.6732,0.22869253,4.8386807,2.1851513
712.6224,0.22840238,4.8350735,2.184861
712.5716,0.22840214,4.835074,2.184861
712.5208,0.22840214,4.835074,2.184861
712.47,0.2286923,4.838682,2.185151
712.4192,0.22840261,4.8350735,2.1848612
712.3684,0.2286923,4.8386803,2.185151
712.31757,0.22840261,4.8350725,2.1848612
712.2668,0.22840261,4.835073,2.1848612
712.216,0.22840261,4.8350735,2.1848612
712.16516,0.2286923,4.8386807,2.185151
712.1144,0.22840261,4.8350735,2.1848612
712.0636,0.22840261,4.8350735,2.1848612
712.0128,0.22840261,4.835074,2.1848612
711.962,0.22869253,4.838682,2.185151
711.9112,0.22840238,4.8350735,2.184861
711.8604,0.22869253,4.8386803,2.185151
711.8096,0.22840261,4.8350725,2.184861
711.7588,0.22840238,4.835073,2.184861
711.708,0.22840238,4.8350735,2.184861
711.65717,0.22869253,4.838681,2.185151
711.6064,0.22840238,4.8350735,2.184861
711.5556,0.22840238,4.8350735,2.184861
711.5048,0.22840238,4.835074,2.184861
711.454,0.2286923,4.838682,2.185151
711.4032,0.22840238,4.8350735,2.184861
711.3524,0.2286923,4.8386803,2.185151
711.3016,0.22840261,4.8350725,2.1848612
711.2508,0.22840261,4.835073,2.1848612
711.2,0.22840261,4.8350735,2.1848612
711.1492,0.22869277,4.8386807,2.1851513
711.0984,0.22840261,4.8350735,2.1848612
711.0476,0.22840261,4.8350735,2.1848612
710.99677,0.22840238,4.8350735,2.184861
710.946,0.2286923,4.838682,2.185151
710.8952,0.22840261,4.8350735,2.1848612
710.8444,0.2286923,4.8386803,2.185151
710.7936,0.22840261,4.835073,2.1848612
710.7428,0.22840261,4.835073,2.1848612
710.692,0.22840238,4.8350735,2.1848612
710.6412,0.22869253,4.8386807,2.1851513
710.5904,0.22840261,4.8350735,2.1848612
710.5396,0.22840261,4.8350735,2.1848612
710.4888,0.22840238,4.8350744,2.1848612
710.438,0.2286923,4.838682,2.185151
710.3872,0.22840238,4.8350735,2.184861
