TDEP,AHT90,AHF90
70.46976,1.8908553,1.9014599
70.46214,1.8983392,1.9020348
70.45452,1.8965393,1.9017003
70.4469,1.8995464,1.9003283
70.43928,1.904726,1.898968
70.431656,1.9010743,1.897844
70.42404,1.8959708,1.8960404
70.41642,1.8882871,1.8949455
70.4088,1.8870572,1.8952576
70.40118,1.8846589,1.8966267
70.393555,1.8948632,1.8977842
70.38594,1.9002758,1.8980544
70.37832,1.9211546,1.9000779
70.3707,1.9357563,1.9022856
70.363075,1.94642,1.9021361
70.35545,1.9535173,1.8941456
70.34784,1.9587761,1.8800012
70.34022,1.9541771,1.8594824
70.332596,1.9202197,1.8333162
70.32498,1.8787763,1.8032868
70.31736,1.8095605,1.7729286
70.30974,1.7351258,1.7408568
70.302124,1.6669977,1.711703
70.2945,1.6015228,1.6876577
70.28688,1.5655077,1.6697572
70.27926,1.5656961,1.6588126
70.271645,1.5897262,1.6548978
70.26402,1.6408095,1.6571405
70.2564,1.6822809,1.6637479
70.24878,1.6998036,1.6732055
70.24116,1.7547342,1.6810523
70.23354,1.7726965,1.6873082
70.22592,1.758213,1.6909943
70.2183,1.7297981,1.6910273
70.21068,1.6999328,1.6874046
70.20306,1.6719859,1.6807427
70.19544,1.660025,1.6720825
70.18782,1.6480565,1.6643909
70.1802,1.64083,1.6568449
70.17258,1.629605,1.6504077
70.164955,1.6174005,1.6459434
70.15734,1.617681,1.6442463
70.14972,1.6234607,1.6456978
70.1421,1.6328955,1.6497506
70.134476,1.6433907,1.6558886
70.126854,1.655298,1.663865
70.11924,1.6666088,1.6733994
70.11162,1.6801121,1.6842009
70.104,1.6925619,1.6964482
70.096375,1.7060285,1.7097745
70.08876,1.7201886,1.7233063
70.08114,1.7336704,1.7357996
70.07352,1.7503,1.7487252
70.0659,1.7685407,1.7626932
70.05828,1.7853265,1.7766833
70.05066,1.8072588,1.7907107
70.043045,1.8186413,1.8043863
70.03542,1.8233519,1.8174527
70.0278,1.8393171,1.8294684
70.02018,1.8500563,1.8406599
70.01256,1.8636225,1.8508658
70.004944,1.8933246,1.8597478
69.99732,1.9080321,1.8690656
69.9897,1.897087,1.8760782
69.98208,1.8694639,1.8863539
69.97446,1.8357526,1.9042437
69.96684,1.8176322,1.9261969
69.95922,1.8396971,1.95163
69.9516,1.9274194,1.9861552
69.94398,2.0134897,2.0124094
69.936356,2.1181564,2.0499833
69.92874,2.2045975,2.081167
69.92112,2.3399634,2.0988388
69.9135,2.5340986,2.0940902
69.905876,2.5590882,2.0645897
69.898254,2.4004633,2.0133653
69.89064,2.1457117,1.947338
69.88302,1.8944396,1.8749648
69.8754,1.7073013,1.8042129
69.867775,1.5812824,1.7455816
69.86015,1.5589164,1.690634
69.85254,1.5638597,1.6457913
69.84492,1.5651925,1.6124744
69.837296,1.5566207,1.5879745
69.82968,1.5519283,1.5709438
69.82206,1.5517125,1.5584075
69.81444,1.5461196,1.547538
69.80682,1.535362,1.5444368
69.7992,1.5256358,1.5457547
69.79158,1.5248523,1.549683
69.78396,1.5300767,1.5567937
69.776344,1.5349777,1.5675691
69.76872,1.5496721,1.5814142
