TDEP,HCAL
708.8632,7.879623
708.83777,8.187796
708.8124,8.347589
708.787,8.370416
708.7616,8.370416
708.7362,8.370416
708.7108,8.370416
708.68536,8.385633
708.66,8.416071
708.6346,8.416071
708.6092,8.416071
708.5838,8.454117
708.5584,8.476945
708.533,8.423681
708.50757,8.4274845
708.4822,8.423681
708.4568,8.431289
708.4314,8.4274845
708.406,8.438899
708.3806,8.438899
708.35516,8.431289
708.3298,8.438899
708.3044,8.4274845
708.279,8.416071
708.2536,8.431289
708.2282,8.4274845
708.2028,8.416071
708.17737,8.438899
708.152,8.438899
708.1266,8.438899
708.1012,8.4274845
708.0758,8.446508
708.0504,8.438899
708.02496,8.431289
707.9996,8.438899
707.9742,8.438899
707.9488,8.416071
707.9234,8.416071
707.898,8.4274845
707.8726,8.4274845
707.84717,8.423681
707.8218,8.438899
707.7964,8.450313
707.771,8.438899
707.7456,8.450313
707.7202,8.461726
707.69476,8.450313
707.6694,8.450313
707.644,8.446508
707.6186,8.438899
707.5932,8.438899
707.5678,8.4274845
707.5424,8.450313
707.51697,8.438899
707.4916,8.438899
707.4662,8.438899
707.4408,8.438899
707.4154,8.450313
707.39,8.431289
707.36456,8.4274845
707.3392,8.4274845
707.3138,8.4274845
707.2884,8.438899
707.263,8.450313
707.2376,8.438899
707.2122,8.404657
707.18677,8.370416
707.1614,8.370416
707.136,8.370416
707.1106,8.38183
707.0852,8.416071
707.0598,8.416071
707.03436,8.438899
707.009,8.4274845
706.9836,8.438899
706.9582,8.416071
706.9328,8.4274845
706.9074,8.438899
706.882,8.438899
706.85657,8.438899
706.8312,8.450313
706.8058,8.450313
706.7804,8.438899
706.755,8.450313
706.7296,8.450313
706.70416,8.450313
706.6788,8.438899
706.6534,8.438899
706.628,8.450313
706.6026,8.438899
706.5772,8.461726
706.5518,8.438899
706.52637,8.450313
706.501,8.438899
706.4756,8.438899
706.4502,8.438899
706.4248,8.4274845
706.3994,8.438899
706.37396,8.416071
706.3486,8.4274845
706.3232,8.423681
706.2978,8.4274845
706.2724,8.416071
706.247,8.4274845
706.2216,8.438899
706.19617,8.4274845
706.1708,8.416071
706.1454,8.416071
706.12,8.416071
706.0946,8.416071
706.0692,8.416071
706.04376,8.4274845
706.0184,8.416071
705.993,8.416071
705.9676,8.416071
705.9422,8.416071
705.9168,8.416071
705.8914,8.4274845
705.86597,8.416071
705.8406,8.4274845
705.8152,8.438899
705.7898,8.438899
705.7644,8.438899
705.739,8.438899
705.71356,8.416071
705.6882,8.416071
705.6628,8.416071
705.6374,8.416071
705.612,8.416071
705.5866,8.416071
705.5612,8.4274845
705.53577,8.438899
705.5104,8.438899
705.485,8.438899
705.4596,8.4274845
705.4342,8.438899
705.4088,8.450313
705.38336,8.461726
705.358,8.450313
705.3326,8.461726
705.3072,8.461726
705.2818,8.461726
705.2564,8.461726
705.231,8.461726
705.20557,8.461726
705.1802,8.461726
705.1548,8.484553
705.1294,8.476945
705.104,8.484553
705.0786,8.484553
705.05316,8.495968
705.0278,8.507381
705.0024,8.507381
704.977,8.507381
704.9516,8.514991
704.9262,8.518795
704.9008,8.507381
704.87537,8.507381
704.85,8.484553
704.8246,8.507381
704.7992,8.476945
704.7738,8.484553
704.7484,8.484553
704.72296,8.47314
704.6976,8.47314
704.6722,8.461726
704.6468,8.484553
704.6214,8.461726
704.596,8.47314
704.5706,8.461726
704.54517,8.461726
704.5198,8.461726
704.4944,8.450313
704.469,8.461726
704.4436,8.461726
704.4182,8.450313
704.39276,8.450313
704.3674,8.450313
704.342,8.461726
704.3166,8.461726
704.2912,8.461726
704.2658,8.461726
704.2404,8.461726
704.21497,8.495968
704.1896,8.507381
704.1642,8.450313
704.1388,8.450313
704.1134,8.450313
704.088,8.450313
704.06256,8.450313
704.0372,8.461726
704.0118,8.461726
703.9864,8.450313
703.961,8.461726
703.9356,8.450313
703.9102,8.450313
703.88477,8.461726
703.8594,8.461726
703.834,8.461726
703.8086,8.461726
703.7832,8.47314
703.7578,8.47314
703.7324,8.484553
703.707,8.461726
703.6816,8.484553
703.6562,8.484553
703.6308,8.484553
703.6054,8.495968
703.58,8.495968
703.55457,8.484553
703.5292,8.484553
703.5038,8.484553
703.4784,8.507381
703.453,8.47314
703.4276,8.461726
703.4022,8.461726
