Poço,Profundidade,UnidadeF,UnidadeM,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,Log10_RESD,DT,RHOB,DRHO,NPHI,PE,interpolada
1-BRSA-659-SE,477.2,MURIBE,OITEIR,False,False,False,False,FOLHELHO,CINZA,ESVERDEADO,,,8.5,9.512577056884766,1.0125770568847656,125.11307525634766,2.988410234451294,0.4754402150741772,106.4005126953125,2.4761881828308105,0.0347816683351993,0.2871604263782501,3.3450281620025635,False
1-BRSA-659-SE,477.3,MURIBE,OITEIR,False,False,False,False,FOLHELHO,CINZA,ESVERDEADO,,,8.5,9.585747718811035,1.0857477188110352,132.3153839111328,3.075248003005981,0.48788014515010025,105.1255111694336,2.4824960231781006,0.0469448193907737,0.2868274748325348,3.358567714691162,False
1-BRSA-659-SE,477.4,MURIBE,OITEIR,False,False,False,True,FOLHELHO,CINZA,ESVERDEADO,,,8.5,9.634528160095217,1.1345281600952148,139.57565307617188,3.0608859062194824,0.4858471416774475,103.55765533447266,2.4826648235321045,0.0594771988689899,0.2904734313488006,3.3817451000213623,False
1-BRSA-659-SE,477.5,MURIBE,OITEIR,False,False,True,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.610137939453123,1.110137939453125,143.2888641357422,3.0253241062164307,0.48077190791454516,102.1505126953125,2.4897282123565674,0.05935013666749,0.2932541668415069,3.396758317947388,False
1-BRSA-659-SE,477.6,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.626399040222168,1.126399040222168,143.63661193847656,3.032201766967773,0.48175809648682383,101.11174011230467,2.498455286026001,0.0483773648738861,0.2926414310932159,3.407315492630005,False
1-BRSA-659-SE,477.7,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.602008819580078,1.102008819580078,140.68846130371094,3.0848629474639893,0.4892358742096861,99.91224670410156,2.501220464706421,0.0368386916816234,0.2883865535259247,3.4371461868286133,False
1-BRSA-659-SE,477.8,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.561357498168944,1.061357498168945,136.27587890625,3.1620848178863525,0.49997351500984377,98.38724517822266,2.493903636932373,0.0330059491097927,0.2833360135555267,3.498394250869751,False
1-BRSA-659-SE,477.9,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.512577056884766,1.0125770568847656,131.87489318847656,3.2778916358947754,0.5155945920926746,96.6602020263672,2.49139666557312,0.0309482235461473,0.2768726646900177,3.580486297607422,False
1-BRSA-659-SE,478.0,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.471927642822266,0.9719276428222656,128.53648376464844,3.467729330062866,0.5400451917316141,95.09285736083984,2.5043869018554688,0.0279398225247859,0.2696632146835327,3.6609082221984863,False
1-BRSA-659-SE,478.1,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.488186836242676,0.9881868362426758,126.59294891357422,3.7221484184265137,0.5707936863709256,93.9801025390625,2.5320751667022705,0.0292802117764949,0.261518120765686,3.695873260498047,False
