Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,DRHO,DT,GR,RESD,Log10_RESD,NPHI,PE,PE.1,RHOB,interpolada
1-BRSA-645-SE,712.7,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.47576904296875,1.22576904296875,0.0818737223744392,114.67806243896484,113.6659927368164,2.2061307430267334,0.3436312466773834,0.365507572889328,3.3525731563568115,3.293099164962769,2.211919069290161,False
1-BRSA-645-SE,712.8,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.617701530456545,1.367701530456543,0.0811918675899505,116.41786193847656,115.03089904785156,2.142353057861328,0.3308910437348009,0.3624444901943207,3.369945526123047,3.117119789123535,2.208622455596924,False
1-BRSA-645-SE,713.7,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.717888832092283,1.4678888320922852,0.0718097239732742,116.6750030517578,107.05574035644533,2.064620018005371,0.31484013382852283,0.3589387834072113,3.3270928859710693,3.17051362991333,2.3023476600646973,False
1-BRSA-645-SE,713.8,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.28374195098877,1.0337419509887695,0.0689585134387016,116.71836853027344,106.01483917236328,2.068157911300659,0.31558369563480365,0.3542397320270538,3.346510648727417,3.497272729873657,2.3263468742370605,False
1-BRSA-645-SE,713.9,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.108412742614746,0.8584127426147461,0.0612315982580184,116.06275939941406,105.4748306274414,2.074664831161499,0.3169479450315145,0.3526956140995025,3.3262221813201904,3.4786620140075684,2.3302361965179443,False
1-BRSA-645-SE,714.0,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.367231369018556,1.117231369018555,0.0550936795771122,115.1255111694336,106.19683074951172,2.082134962081909,0.31850887665759536,0.3473357260227203,3.2614941596984863,3.2584316730499268,2.3149056434631348,False
1-BRSA-645-SE,714.1,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.27539348602295,1.0253934860229492,0.0570609457790851,114.14337158203124,108.1621322631836,2.0880494117736816,0.31974077163230413,0.3462001085281372,3.180044889450073,3.199197769165039,2.2893881797790527,False
1-BRSA-645-SE,714.2,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.300439834594728,1.0504398345947266,0.0649967193603515,113.3403091430664,109.15626525878906,2.090113878250122,0.320169948957134,0.3475703299045563,3.130859375,2.808375120162964,2.275115966796875,False
1-BRSA-645-SE,714.3,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.150157928466797,0.9001579284667969,0.0719138383865356,113.02754974365234,110.31452178955078,2.0872621536254883,0.3195769985254161,0.3544763922691345,3.120307207107544,3.231734275817871,2.278934955596924,False
1-BRSA-645-SE,714.4,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.216949462890623,0.966949462890625,0.0763350948691368,113.23213958740234,111.25337982177734,2.079782009124756,0.31801781708028465,0.3562623560428619,3.148822069168091,3.121272087097168,2.300260543823242,False
1-BRSA-645-SE,714.5,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.601003646850586,1.351003646850586,0.0759517401456832,113.7040786743164,112.03490447998048,2.0705642700195312,0.3160887154863736,0.3517557084560394,3.194423198699951,3.1585755348205566,2.321386337280273,False
1-BRSA-645-SE,714.8,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.684494018554688,1.4344940185546875,0.0555500611662864,113.59642028808594,112.44650268554688,2.065983295440674,0.31512680569896145,0.3310363292694092,3.2832579612731934,3.375115156173706,2.3683152198791504,False
1-BRSA-645-SE,714.9,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.459070205688477,1.2090702056884766,0.0505061857402324,113.12296295166016,112.18032836914062,2.075921058654785,0.31721083451241744,0.3329692780971527,3.271428346633911,3.3265089988708496,2.377379894256592,False
1-BRSA-645-SE,715.0,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.083365440368652,0.8333654403686523,0.0500677302479743,112.62754821777344,112.36827087402344,2.086523056030273,0.3194231880179647,0.3353598415851593,3.2445318698883057,3.253993511199951,2.3836045265197754,False
1-BRSA-645-SE,715.1,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.016572952270508,0.7665729522705078,0.0518000721931457,112.1387710571289,112.99842071533205,2.0948596000671387,0.3211549213551253,0.3378934264183044,3.2215335369110107,3.254533052444458,2.386481046676636,False
1-BRSA-645-SE,715.2,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,12.832895278930664,0.5828952789306641,0.0487525314092636,111.64286041259766,112.47626495361328,2.0991885662078857,0.32205145220092746,0.3441845774650574,3.207216739654541,3.078586339950561,2.382704734802246,False
1-BRSA-645-SE,715.3,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,12.741056442260742,0.4910564422607422,0.0469228103756904,111.27193450927734,110.9693374633789,2.096013307571411,0.32139403565256913,0.3526684045791626,3.2298057079315186,3.118863105773926,2.3753821849823,False
1-BRSA-645-SE,715.4,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,12.983177185058594,0.7331771850585938,0.0600422024726867,111.3948974609375,109.96245574951172,2.07973861694336,0.3180087559472201,0.3652219772338867,3.281609296798706,3.244738340377808,2.36796236038208,False
1-BRSA-645-SE,715.5,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.250346183776855,1.0003461837768557,0.0983367636799812,111.96785736083984,108.34242248535156,2.050865650177002,0.3119372111738925,0.3760988712310791,3.332069396972656,3.4416286945343018,2.36768102645874,False
1-BRSA-645-SE,715.6,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.33383560180664,1.0838356018066406,0.141274020075798,113.03214263916016,107.40612030029295,2.017911911010742,0.30490220382509586,0.3872103691101074,3.3711013793945312,3.738208293914795,2.356079578399658,False
1-BRSA-645-SE,715.9,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,12.732707977294922,0.4827079772949219,0.1427662670612335,115.92448425292967,107.71736907958984,1.9863675832748413,0.29805961909194983,0.3863923549652099,3.360182285308838,3.146057844161988,2.2569360733032227,False
1-BRSA-645-SE,716.0,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,12.665915489196776,0.4159154891967773,0.1165299117565155,116.0295867919922,108.89178466796876,2.007464408874512,0.3026478542414159,0.3776352107524872,3.3783271312713623,3.1743714809417725,2.26024866104126,False
1-BRSA-645-SE,716.1,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,12.61582088470459,0.3658208847045898,0.083290547132492,114.94795989990234,110.14273834228516,2.0511515140533447,0.31199774193195695,0.3632676601409912,3.3947317600250244,3.422205209732056,2.279280424118042,False
1-BRSA-645-SE,716.2,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,12.515632629394531,0.2656326293945312,0.0462623052299022,112.30357360839844,109.6826629638672,2.1390535831451416,0.3302216637546925,0.3459401428699493,3.409893751144409,3.452764749526977,2.311084032058716,False
1-BRSA-645-SE,716.3,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,12.45719051361084,0.2071905136108398,0.0235453154891729,108.3510284423828,105.96807098388672,2.2924880981445312,0.36030708963166735,0.3262644410133362,3.401111602783203,3.464280366897583,2.358204364776612,False
1-BRSA-645-SE,716.4,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,12.390398025512695,0.1403980255126953,0.0207300204783678,103.87754821777344,101.07225036621094,2.495838165283203,0.3972164214738859,0.3061951100826263,3.3977832794189453,3.164729356765747,2.414241313934326,False
1-BRSA-645-SE,716.5,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,12.56572723388672,0.3157272338867187,0.0410820506513118,100.61174011230467,95.83201599121094,2.68133807182312,0.4283515746956493,0.2943612933158874,3.422137498855591,3.2624104022979736,2.460368633270264,False
1-BRSA-645-SE,716.6,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,12.949782371520996,0.6997823715209961,0.0742586553096771,98.93571472167967,93.48233032226562,2.7272210121154785,0.4357203342939689,0.3001199662685394,3.46313738822937,3.7801806926727295,2.465315103530884,False
1-BRSA-645-SE,716.7,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.29209041595459,1.0420904159545898,0.1073357239365577,99.50203704833984,95.61515808105467,2.587681531906128,0.41291082630640813,0.3247032761573791,3.489870309829712,3.639058351516724,2.426121711730957,False
1-BRSA-645-SE,716.8,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.28374195098877,1.0337419509887695,0.1206362769007682,102.34234619140624,99.79833984375,2.36559796333313,0.37394093761141434,0.3519940674304962,3.484754800796509,3.597886085510254,2.35504412651062,False
1-BRSA-645-SE,716.9,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.05831813812256,0.8083181381225586,0.1144825220108032,106.77244567871094,104.32592010498048,2.1779086589813232,0.3380396615849427,0.3703409731388092,3.444364070892334,3.489901542663574,2.297857522964477,False
1-BRSA-645-SE,717.0,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,12.874641418457031,0.6246414184570312,0.0996965393424034,111.9607162475586,108.167236328125,2.070178747177124,0.31600784572802654,0.3770312368869781,3.39133882522583,3.242217302322388,2.2730612754821777,False
1-BRSA-645-SE,717.1,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.05831813812256,0.8083181381225586,0.0925419852137565,115.91224670410156,108.76422119140624,2.0333445072174072,0.30821096688595423,0.3779153823852539,3.374874830245972,3.1419684886932373,2.279113292694092,False
1-BRSA-645-SE,717.2,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESCURO,,,12.25,13.651098251342772,1.4010982513427734,0.0954929739236831,117.67704010009766,107.41207122802734,2.043269157409668,0.31032557949506057,0.3785421848297119,3.388665676116944,3.4875104427337646,2.296199321746826,False
