Profundidade,Topo,Base,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,Log10_RESD,DT,RHOB,DRHO,NPHI,PE,Litologia
593.7,False,False,CINZA,CLARO,MEDIO,SUBANGULAR,8.5,8.939807891845703,0.4398078918457031,96.36013793945312,7.525684833526611,0.8765460266431182,88.079833984375,2.492410182952881,0.0172964334487914,0.2646875828504562,3.300554871559143,ARENITO
593.8,False,False,CINZA,CLARO,MEDIO,SUBANGULAR,8.5,8.709426879882812,0.2094268798828125,94.45398712158205,7.936732292175293,0.8996417316988803,87.34996032714844,2.486466646194458,0.0130422115325927,0.2667872011661529,3.297924995422364,ARENITO
593.9,False,False,CINZA,CLARO,MEDIO,SUBANGULAR,8.5,8.753310203552246,0.2533102035522461,89.88362884521484,8.00362491607666,0.9032867275534894,90.1547393798828,2.481655597686768,0.0037055015563964,0.2277978956699371,3.258920669555664,ARENITO
594.0,False,False,CINZA,CLARO,MEDIO,SUBANGULAR,8.5,8.786221504211426,0.2862215042114258,92.35923767089844,8.039965152740479,0.9052541664094815,89.17193222045898,2.490331649780274,0.0040740966796874,0.2208569645881652,3.25134801864624,ARENITO
594.1,False,False,CINZA,CLARO,MEDIO,SUBANGULAR,8.5,8.819132804870605,0.3191328048706054,94.83484649658205,8.076305389404297,0.9072127325630253,88.18912506103516,2.49900770187378,0.0044426918029785,0.2139160335063934,3.2437753677368164,ARENITO
594.2,False,False,CINZA,CLARO,MEDIO,SUBANGULAR,8.5,8.841073989868164,0.341073989868164,97.50089263916016,7.684637069702148,0.8856233614457024,90.02099609375,2.4968864917755127,0.0037369728088378,0.2333567291498184,3.2626094818115234,ARENITO
594.3,False,False,CINZA,CLARO,MEDIO,SUBANGULAR,8.5,8.819132804870605,0.3191328048706054,98.64348602294922,7.674802303314209,0.8850671972195115,90.68653869628906,2.484368085861206,0.0065577030181884,0.2476236000657081,3.295608639717102,ARENITO
594.4,False,False,CINZA,CLARO,MEDIO,SUBANGULAR,8.5,8.797191619873047,0.2971916198730469,99.78607940673828,7.664967536926269,0.884510319847453,91.35208129882812,2.4718496799468994,0.009378433227539,0.2618904709815979,3.3286077976226807,ARENITO
594.5,False,False,CINZA,CLARO,MEDIO,SUBANGULAR,8.5,8.786221504211426,0.2862215042114258,96.35831451416016,6.970662593841553,0.8432740617669038,87.7135009765625,2.4677467346191406,0.021409273147583,0.2952491343021393,3.369839191436768,ARENITO
594.6,False,False,CINZA,CLARO,MEDIO,SUBANGULAR,8.5,8.802677154541016,0.3026771545410156,93.02576065063477,7.197865009307861,0.857203697517998,88.05674743652344,2.4807592630386357,0.0213392972946166,0.2875897735357284,3.3757030963897705,ARENITO
594.7,False,False,CINZA,CLARO,MEDIO,SUBANGULAR,8.5,8.819132804870605,0.3191328048706054,89.69320678710938,7.42506742477417,0.8707004017029757,88.39999389648438,2.49377179145813,0.0212693214416503,0.2799304127693176,3.381567001342773,ARENITO
594.8,False,False,CINZA,CLARO,MEDIO,SUBANGULAR,8.5,8.884956359863281,0.3849563598632812,88.45626831054688,7.78679084777832,0.8913585097577081,87.30816650390625,2.5215871334075928,0.0139880180358886,0.2654148638248443,3.360111713409424,ARENITO
594.9,False,True,CINZA,CLARO,MEDIO,SUBANGULAR,8.5,8.863015174865723,0.3630151748657226,90.5510139465332,7.631088495254517,0.8825864899556912,87.21700668334961,2.5188357830047607,0.00678551197052,0.2556102275848388,3.352314710617065,ARENITO
595.0,True,False,CASTANHO,ESCURO,,,8.5,8.841073989868164,0.341073989868164,92.64575958251952,7.475386142730713,0.8736336311537676,87.12584686279297,2.5160844326019287,-0.0004169940948486,0.2458055913448333,3.344517707824707,FOLHELHO
595.1,False,False,CASTANHO,ESCURO,,,8.5,8.797191619873047,0.2971916198730469,102.01886749267578,7.052310466766357,0.8483314231728706,91.7933578491211,2.487832546234131,-0.0009229183197021,0.2698939442634582,3.3541953563690186,FOLHELHO
595.2,False,False,CASTANHO,ESCURO,,,8.5,8.841073989868164,0.341073989868164,102.44690322875977,7.2830939292907715,0.8623159110403089,92.42084503173828,2.481722831726074,-0.0006204843521117,0.2743812948465347,3.341293811798096,FOLHELHO
595.3,False,False,CASTANHO,ESCURO,,,8.5,8.884956359863281,0.3849563598632812,102.87493896484376,7.5138773918151855,0.8758641041566262,93.04833221435548,2.4756131172180176,-0.0003180503845214,0.2788686454296112,3.328392267227173,FOLHELHO
595.4,False,False,CASTANHO,ESCURO,,,8.5,8.830103874206543,0.3301038742065429,103.1393051147461,6.759328365325928,0.8299035447990404,92.3771514892578,2.471498727798462,-0.0008831024169921,0.3332999348640442,3.3198060989379883,FOLHELHO
595.5,False,False,CASTANHO,ESCURO,,,8.5,8.967235088348389,0.4672350883483886,98.35753631591795,6.890858888626099,0.8382733565003071,91.95425415039062,2.480000376701355,-0.0008963346481322,0.3243405222892761,3.30354917049408,FOLHELHO
595.6,False,False,CASTANHO,ESCURO,,,8.5,9.104366302490234,0.6043663024902344,93.57576751708984,7.0223894119262695,0.846484908689799,91.53135681152344,2.488502025604248,-0.0009095668792724,0.315381109714508,3.287292242050171,FOLHELHO
595.7,False,False,CASTANHO,ESCURO,,,8.5,8.819132804870605,0.3191328048706054,87.2915267944336,7.530344486236572,0.8768148440691677,88.5923080444336,2.5197548866271973,-0.0004057884216308,0.2993600070476532,3.261854887008667,FOLHELHO
595.8,False,False,CASTANHO,ESCURO,,,8.5,8.830103397369385,0.3301033973693847,85.2550277709961,8.454327821731567,0.9270790838536302,87.88741683959961,2.5317177772521973,-3.576278686525004e-05,0.2688851654529571,3.2641268968582158,FOLHELHO
595.9,False,True,CASTANHO,ESCURO,,,8.5,8.841073989868164,0.341073989868164,83.2185287475586,9.378311157226562,0.9721246378317827,87.18252563476562,2.5436806678771973,0.0003342628479003,0.2384103238582611,3.266398906707764,FOLHELHO
596.0,True,False,CINZA,CLARO,FINO,SUBANGULAR,8.5,8.753310203552246,0.2533102035522461,87.02716064453125,9.192543029785156,0.9634356714540915,88.28767395019531,2.5332822799682617,-0.0015923976898193,0.2318492382764816,3.29592514038086,ARENITO
596.1,False,False,CINZA,CLARO,FINO,SUBANGULAR,8.5,8.775250911712646,0.2752509117126465,90.74058151245116,8.386577606201172,0.9235847701289953,88.23093795776367,2.52357029914856,-0.0013661384582519,0.2369715124368667,3.306557416915894,ARENITO
596.2,False,False,CINZA,CLARO,FINO,SUBANGULAR,8.5,8.797191619873047,0.2971916198730469,94.4540023803711,7.5806121826171875,0.8797042790881255,88.17420196533203,2.5138583183288574,-0.0011398792266845,0.2420937865972519,3.317189693450928,ARENITO
596.3,False,False,CINZA,CLARO,FINO,SUBANGULAR,8.5,8.852044105529785,0.3520441055297851,94.6444320678711,6.724483013153076,0.8276589008431473,90.14550018310548,2.510549068450928,0.0011811256408691,0.261273980140686,3.313461780548096,ARENITO
596.4,False,False,CINZA,CLARO,FINO,SUBANGULAR,8.5,8.857529640197754,0.3575296401977538,91.59752655029295,6.347785472869873,0.802622241094287,90.02618789672852,2.519489526748657,0.0017030239105224,0.2866801917552947,3.2996037006378174,ARENITO
596.5,False,False,CINZA,CLARO,FINO,SUBANGULAR,8.5,8.863015174865723,0.3630151748657226,88.55062103271484,5.97108793258667,0.7760534668200278,89.90687561035156,2.5284299850463867,0.0022249221801757,0.3120864033699035,3.285745620727539,ARENITO
596.6,False,False,CINZA,CLARO,FINO,SUBANGULAR,8.5,8.819132804870605,0.3191328048706054,79.79076385498047,5.350056171417236,0.7283583417985149,91.06475067138672,2.5313825607299805,0.0007655620574951,0.3188595771789551,3.3287923336029053,ARENITO
596.7,False,False,CINZA,CLARO,FINO,SUBANGULAR,8.5,8.830103397369385,0.3301033973693847,80.06190490722656,5.535744428634644,0.7431760316300948,90.6910400390625,2.531792402267456,0.0004966259002685,0.3218450844287872,3.3355371952056885,ARENITO
596.8,False,False,CINZA,CLARO,FINO,SUBANGULAR,8.5,8.841073989868164,0.341073989868164,80.33304595947266,5.721432685852051,0.7575047927179945,90.31732940673828,2.532202243804932,0.0002276897430419,0.3248305916786194,3.342282056808472,ARENITO
596.9,False,True,CINZA,CLARO,FINO,SUBANGULAR,8.5,8.808162689208984,0.3081626892089844,82.23736572265625,5.89372992515564,0.7703902308179502,90.99242782592772,2.523910522460938,0.0014718770980834,0.3138196617364883,3.371289610862732,ARENITO
597.0,True,False,CASTANHO,ESCURO,,,8.5,8.775251388549805,0.2752513885498047,84.14168548583984,6.0660271644592285,0.7829043508062193,91.6675262451172,2.515618801116944,0.002716064453125,0.3028087317943573,3.400297164916992,FOLHELHO
597.1,False,False,CASTANHO,ESCURO,,,8.5,8.775251388549805,0.2752513885498047,94.42499542236328,6.044999599456787,0.7813962764203286,91.2327880859375,2.503792762756348,0.0041034221649169,0.3352258801460266,3.4175472259521484,FOLHELHO
597.2,False,False,CASTANHO,ESCURO,,,8.5,8.808162689208984,0.3081626892089844,93.1064796447754,6.27495813369751,0.797610832565059,90.25022506713869,2.5048089027404785,0.00394868850708,0.3327977210283279,3.421217441558838,FOLHELHO
597.3,False,False,CASTANHO,ESCURO,,,8.5,8.841073989868164,0.341073989868164,91.7879638671875,6.504916667938232,0.8132417373485807,89.26766204833984,2.5058250427246094,0.0037939548492431,0.3303695619106293,3.424887657165528,FOLHELHO
597.4,False,False,CASTANHO,ESCURO,,,8.5,8.928837776184082,0.428837776184082,88.36019897460938,7.318737983703613,0.8644361993690604,88.76011657714844,2.5449929237365723,0.0042259693145751,0.3094810247421264,3.351731061935425,FOLHELHO
597.5,False,False,CASTANHO,ESCURO,,,8.5,8.863014698028564,0.3630146980285644,81.3619155883789,7.792198181152344,0.8916599895438603,84.88605499267578,2.570869207382202,0.0034790039062499,0.2831871360540389,3.3182114362716675,FOLHELHO
597.6,False,False,CASTANHO,ESCURO,,,8.5,8.797191619873047,0.2971916198730469,74.36363220214844,8.265658378601074,0.9172774518343447,81.01199340820312,2.596745491027832,0.0027320384979248,0.2568932473659515,3.28469181060791,FOLHELHO
597.7,False,False,CASTANHO,ESCURO,,,8.5,8.797191619873047,0.2971916198730469,66.74636840820312,9.65875244140625,0.9849210350280693,76.00621795654297,2.6233787536621094,-0.00065279006958,0.2168574184179306,3.2852461338043213,FOLHELHO
597.8,False,False,CASTANHO,ESCURO,,,8.5,8.72039794921875,0.22039794921875,64.74683570861816,9.95510196685791,0.9980457127227388,76.5838623046875,2.6126939058303837,-0.0026906728744506,0.2047311589121818,3.3201574087142944,FOLHELHO
597.9,False,True,CASTANHO,ESCURO,,,8.5,8.643604278564453,0.1436042785644531,62.7473030090332,10.25145149230957,1.0107853610475184,77.16150665283203,2.602009057998657,-0.0047285556793212,0.1926048994064331,3.355068683624268,FOLHELHO
598.0,True,False,CINZA,CLARO,FINO,SUBANGULAR,8.5,8.665545463562012,0.1655454635620117,68.7208251953125,9.139825820922852,0.9609379193954448,79.16609191894531,2.5509960651397705,-0.0055859088897705,0.1939081847667694,3.383234977722168,ARENITO
598.1,False,False,CINZA,CLARO,FINO,SUBANGULAR,8.5,8.687486171722412,0.1874861717224121,72.38546371459961,8.621620655059814,0.9355889103018418,83.52116012573242,2.526991128921509,-0.0043339729309081,0.2012316435575485,3.3619964122772217,ARENITO
598.2,False,False,CINZA,CLARO,FINO,SUBANGULAR,8.5,8.709426879882812,0.2094268798828125,76.05010223388672,8.103415489196777,0.9086681072076651,87.87622833251953,2.502986192703247,-0.0030820369720458,0.2085551023483276,3.3407578468322754,ARENITO
598.3,False,False,CINZA,CLARO,FINO,SUBANGULAR,8.5,8.797191619873047,0.2971916198730469,88.04729461669922,7.342008113861084,0.8658148601193638,87.95632934570312,2.4813461303710938,0.0010764598846435,0.2516226768493652,3.2777140140533447,ARENITO
598.4,False,False,CINZA,CLARO,FINO,SUBANGULAR,8.5,8.808162212371826,0.3081622123718261,90.8210105895996,6.83790922164917,0.8349233309153088,90.05200958251953,2.4765267372131348,0.0019420385360717,0.2592143416404724,3.276079535484314,ARENITO
598.5,False,False,CINZA,CLARO,FINO,SUBANGULAR,8.5,8.819132804870605,0.3191328048706054,93.5947265625,6.333810329437256,0.8016650539660913,92.14768981933594,2.471707344055176,0.0028076171875,0.2668060064315796,3.274445056915283,ARENITO
