Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,Log10_RESD,DT,RHOB,DRHO,NPHI,PE,interpolada
1-BRSA-689-SE,469.8,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.313875198364258,0.8138751983642578,119.72298431396484,1.5868806838989258,0.20054427377921114,107.78679656982422,2.409475564956665,-0.0007383823394775,0.3266257047653198,3.2753500938415527,False
1-BRSA-689-SE,469.9,MURIBE,OITEIR,,False,False,False,True,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.260138511657717,0.7601385116577148,117.84854125976562,1.650972545146942,0.21773985122140968,108.05205154418944,2.411027312278748,-0.0002472400665283,0.3292983919382095,3.269026041030884,True
1-BRSA-689-SE,470.0,MURIBE,OITEIR,,False,False,True,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.206401824951172,0.7064018249511719,115.9740982055664,1.7150644063949585,0.23428043389290856,108.31730651855467,2.41257905960083,0.0002439022064208,0.3319710791110992,3.262701988220215,False
1-BRSA-689-SE,470.1,MURIBE,OITEIR,,False,False,False,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.260138511657717,0.7601385116577148,116.68215942382812,1.626191258430481,0.21117162219054728,109.00731658935544,2.400309681892395,0.0007423162460326,0.3394756615161896,3.2641096115112305,True
1-BRSA-689-SE,470.2,MURIBE,OITEIR,,False,False,False,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.313875198364258,0.8138751983642578,117.39022064208984,1.5373181104660034,0.1867637434433202,109.69732666015624,2.38804030418396,0.0012407302856445,0.3469802439212799,3.265517234802246,False
1-BRSA-689-SE,470.3,MURIBE,OITEIR,,False,False,False,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.367610931396484,0.8676109313964844,113.48882293701172,1.5993939638137815,0.20395545263703174,107.49546813964844,2.3983943462371826,0.0115013122558593,0.3149329721927643,3.3036763668060303,False
1-BRSA-689-SE,470.4,MURIBE,OITEIR,,False,False,False,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.32999563217163,0.8299956321716309,112.98302841186523,1.771222949028015,0.24827323055117015,107.58363723754884,2.419562339782715,0.0173331499099731,0.2868653535842895,3.327838182449341,True
1-BRSA-689-SE,470.5,MURIBE,OITEIR,,False,False,False,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.292380332946776,0.7923803329467773,112.47723388671876,1.9430519342422483,0.28848440865608915,107.67180633544922,2.440730333328247,0.0231649875640869,0.2587977349758148,3.351999998092652,False
1-BRSA-689-SE,470.6,MURIBE,OITEIR,,False,False,False,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.19565486907959,0.6956548690795898,102.48959350585938,1.8935874700546265,0.2772853711862681,103.06777954101562,2.470997333526612,0.025923728942871,0.2439248859882354,3.3959827423095703,False
1-BRSA-689-SE,470.7,MURIBE,OITEIR,,False,False,False,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.22252321243286,0.7225232124328613,104.05913925170898,1.8226020336151123,0.260691850512989,106.0488624572754,2.4681496620178223,0.0222785472869872,0.2397764921188354,3.393472909927368,True
1-BRSA-689-SE,470.8,MURIBE,OITEIR,,False,False,False,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.249391555786133,0.7493915557861328,105.6286849975586,1.751616597175598,0.24343905163063131,109.02994537353516,2.465301990509033,0.0186333656311035,0.2356280982494354,3.390963077545166,False
1-BRSA-689-SE,470.9,MURIBE,OITEIR,,False,False,False,True,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.17416000366211,0.6741600036621094,107.7232894897461,1.657038331031799,0.21933255474586283,110.77422332763672,2.4526822566986084,0.0157294273376464,0.2817409634590149,3.3739633560180664,False
1-BRSA-689-SE,471.0,MURIBE,OITEIR,,False,False,True,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.20102834701538,0.7010283470153809,112.33048248291016,1.5922147035598757,0.20200163016307876,107.91525268554688,2.434039354324341,0.0144351720809936,0.2996375113725662,3.3651154041290283,True
